trans_id,trans_dt,enrl_id,pymt_type_id,full_price,discount_type_id,payment_amount,full_paid
900058,2024-08-14,700029,4,7200.00,,1919.86,
900059,2024-04-19,700030,3,5400.00,60,2700.00,N
900060,2024-04-26,700030,5,5400.00,60,2700.00,Yes
900061,2024-01-15,700032,3,5400.00,,764.93,N
900062,2024-01-22,700032,4,5400.00,,764.93,0
900063,2024-01-29,700032,3,5400.00,,764.93,No
900064,2024-04-19,700033,2,3500.00,,1166.67,
900065,2024-04-26,700033,1,3500.00,,1166.67,0
900066,2024-05-03,700033,3,3500.00,,1166.66,Yes
900067,2024-06-20,700034,4,5400.00,50,3762.11,N
900068,2024-05-08,700035,3,6000.00,30,3100.60,N
900069,2025-07-21,700036,2,3500.00,,1319.12,N
900070,2025-07-28,700036,1,3500.00,,1319.12,N
900071,2025-04-06,700037,1,4200.00,,2100.00,0
900072,2025-04-13,700037,5,4200.00,,2100.00,Y
900073,2024-01-06,700038,4,3500.00,60,1750.00,No
900074,2024-01-13,700038,5,3500.00,60,1750.00,Y
900075,2024-06-03,700039,5,7200.00,,846.62,0
900076,2024-06-10,700039,5,7200.00,,846.63,0
900077,2024-02-10,700040,4,3500.00,60,1717.33,0
900078,2025-06-08,700041,3,5400.00,60,1350.00,No
900079,2025-06-15,700041,5,5400.00,60,1350.00,N
900080,2025-06-22,700041,1,5400.00,60,1350.00,N
900081,2025-06-29,700041,4,5400.00,60,1350.00,1
900082,2024-09-29,700042,2,6000.00,,2130.41,No
900083,2024-10-06,700042,2,6000.00,,2130.42,
900084,2025-08-11,700043,5,5400.00,,5400.00,1
900085,2024-12-16,700044,2,4200.00,,863.23,No
900086,2024-02-13,700045,2,7200.00,40,5200.00,Y
900087,2024-11-18,700046,4,3500.00,,3500.00,Yes
900088,2024-07-04,700047,3,5400.00,,1350.00,0
900089,2024-07-11,700047,3,5400.00,,1350.00,No
900090,2024-07-18,700047,4,5400.00,,1350.00,0
900091,2024-07-25,700047,1,5400.00,,1350.00,Yes
900092,2024-12-03,700048,5,4800.00,,486.62,0
900093,2024-12-10,700048,4,4800.00,,486.61,N
900094,2024-08-01,700049,3,7200.00,,3071.78,N
900095,2024-08-08,700049,5,7200.00,,3071.79,N
900096,2024-05-13,700050,3,3500.00,,666.17,No
900097,2024-05-20,700050,4,3500.00,,666.18,N
900098,2024-06-14,700052,1,4800.00,,1600.00,
900099,2024-06-21,700052,5,4800.00,,1600.00,0
900100,2024-06-28,700052,1,4800.00,,1600.00,Yes
900101,2024-07-17,700053,5,3500.00,30,1150.00,No
900102,2024-07-24,700053,3,3500.00,30,1150.00,1
900103,2025-04-11,700054,5,5400.00,,2391.11,
900104,2025-04-18,700054,1,5400.00,,2391.11,
900105,2024-05-01,700055,2,6000.00,,518.11,N
900106,2024-05-08,700055,4,6000.00,,518.11,
900107,2024-05-15,700055,1,6000.00,,518.10,No
900108,2024-07-23,700056,4,4200.00,,2100.00,N
900109,2024-07-30,700056,5,4200.00,,2100.00,Yes
900110,2024-06-25,700057,1,7200.00,50,6900.00,1
900111,2024-05-24,700058,2,4800.00,,2400.00,N
900112,2024-05-31,700058,1,4800.00,,2400.00,Yes
900113,2025-06-21,700059,5,6000.00,,1176.44,No
900114,2025-06-28,700059,4,6000.00,,1176.44,0
900115,2025-07-05,700059,4,6000.00,,1176.45,
900116,2025-09-06,700060,4,7200.00,20,6450.00,Yes
900117,2024-12-07,700061,4,4800.00,,241.84,
900118,2024-12-14,700061,5,4800.00,,241.84,No
900119,2024-12-21,700061,5,4800.00,,241.84,
900120,2024-12-28,700061,1,4800.00,,241.83,N
900121,2025-04-03,700062,1,3500.00,50,1066.67,0
900122,2025-04-10,700062,3,3500.00,50,1066.67,0
900123,2025-04-17,700062,3,3500.00,50,1066.66,Yes
900124,2024-04-13,700063,3,4200.00,,2100.00,0
900125,2024-04-20,700063,5,4200.00,,2100.00,Yes
900126,2024-09-12,700064,3,6000.00,30,2400.00,N
900127,2024-09-19,700064,3,6000.00,30,2400.00,Yes
900128,2024-04-20,700065,3,4200.00,,2100.00,0
900129,2024-04-27,700065,2,4200.00,,2100.00,Yes
900130,2025-08-16,700066,3,7200.00,20,2505.00,N
900131,2025-08-23,700066,1,7200.00,20,2505.00,
900132,2024-11-15,700067,5,6000.00,,3778.69,No
900133,2025-04-08,700068,5,6000.00,50,1425.00,No
900134,2025-04-15,700068,2,6000.00,50,1425.00,N
900135,2025-04-22,700068,3,6000.00,50,1425.00,No
900136,2025-04-29,700068,2,6000.00,50,1425.00,Y
900137,2023-11-29,700069,1,7200.00,60,7200.00,Y
900138,2024-04-24,700070,2,5400.00,,1099.85,
900139,2024-05-01,700070,5,5400.00,,1099.85,
900140,2024-02-16,700071,3,5400.00,50,2550.00,0
900141,2024-02-23,700071,3,5400.00,50,2550.00,Yes
900142,2025-09-01,700072,2,6000.00,,6000.00,Yes
900143,2024-01-29,700073,3,4800.00,50,678.02,0
900144,2024-02-05,700073,1,4800.00,50,678.02,N
900145,2024-02-12,700073,5,4800.00,50,678.03,N
900146,2025-02-24,700074,2,4200.00,20,3450.00,Y
900147,2024-11-06,700075,4,6000.00,,1728.61,N
900148,2024-08-30,700076,2,6000.00,20,1974.62,0
900149,2024-12-03,700077,3,6000.00,30,919.35,
900150,2024-12-10,700077,5,6000.00,30,919.35,
900151,2024-12-17,700077,4,6000.00,30,919.35,No
900152,2024-12-24,700077,4,6000.00,30,919.36,
900153,2024-12-12,700078,3,7200.00,,7200.00,1
900154,2025-03-17,700079,2,3500.00,50,1600.00,0
900155,2025-03-24,700079,1,3500.00,50,1600.00,1
900156,2024-04-19,700080,2,4800.00,,1541.28,0
900157,2025-03-29,700081,5,4800.00,,4800.00,Y
900158,2025-07-07,700082,5,4200.00,,2100.00,
900159,2025-07-14,700082,4,4200.00,,2100.00,1
900160,2024-12-12,700083,3,4800.00,,1632.91,N
900161,2024-12-19,700083,2,4800.00,,1632.91,
900162,2024-01-08,700084,1,4800.00,10,1369.49,No
900163,2024-01-15,700084,1,4800.00,10,1369.49,0
900164,2025-05-08,700085,3,3500.00,40,1500.00,1
900165,2025-08-25,700086,4,4200.00,30,1500.00,No
900166,2025-09-01,700086,2,4200.00,30,1500.00,1
900167,2024-05-03,700087,3,7200.00,50,1540.16,No
900168,2024-05-10,700087,2,7200.00,50,1540.17,N
900169,2023-11-24,700089,2,7200.00,,1779.10,0
900170,2023-12-01,700089,4,7200.00,,1779.09,N
900171,2025-04-07,700090,4,4800.00,,870.35,N
900172,2025-04-14,700090,2,4800.00,,870.35,No
900173,2025-04-21,700090,4,4800.00,,870.35,N
900174,2025-04-28,700090,1,4800.00,,870.33,0
900175,2024-11-04,700091,1,6000.00,,1500.00,No
900176,2024-11-11,700091,5,6000.00,,1500.00,N
900177,2024-11-18,700091,1,6000.00,,1500.00,
900178,2024-11-25,700091,4,6000.00,,1500.00,1
900179,2025-07-20,700092,5,4200.00,,1761.68,
900180,2025-07-27,700092,4,4200.00,,1761.69,
900181,2025-09-03,700093,4,5400.00,10,2450.00,No
900182,2025-09-10,700093,3,5400.00,10,2450.00,Y
900183,2024-09-11,700095,2,4200.00,10,1326.28,N
900184,2024-09-18,700095,1,4200.00,10,1326.28,0
900185,2024-11-02,700097,2,4800.00,50,2250.00,0
900186,2024-11-09,700097,3,4800.00,50,2250.00,1
900187,2025-06-14,700098,2,6000.00,,3000.00,N
900188,2025-06-21,700098,3,6000.00,,3000.00,1
900189,2025-02-22,700099,5,3500.00,20,594.60,0
900190,2024-10-02,700100,2,4200.00,,1400.00,N
900191,2024-10-09,700100,2,4200.00,,1400.00,
900192,2024-10-16,700100,2,4200.00,,1400.00,Yes
900193,2023-12-05,700101,4,3500.00,60,1750.00,No
900194,2023-12-12,700101,1,3500.00,60,1750.00,1
900195,2024-10-12,700102,5,5400.00,10,1225.00,0
900196,2024-10-19,700102,2,5400.00,10,1225.00,No
900197,2024-10-26,700102,2,5400.00,10,1225.00,
900198,2024-11-02,700102,4,5400.00,10,1225.00,Yes
900199,2024-06-07,700103,3,5400.00,10,2450.00,
900200,2024-06-14,700103,4,5400.00,10,2450.00,Yes
900201,2024-07-17,700105,1,6000.00,50,906.48,
900202,2024-07-24,700105,3,6000.00,50,906.47,
900203,2024-01-31,700106,5,6000.00,,6000.00,Y
900204,2025-04-19,700107,3,4200.00,10,1008.80,
900205,2024-02-11,700108,4,7200.00,20,756.75,N
900206,2024-02-18,700108,3,7200.00,20,756.75,0
900207,2024-02-25,700108,3,7200.00,20,756.75,
900208,2024-11-18,700109,4,6000.00,50,2850.00,No
900209,2024-11-25,700109,1,6000.00,50,2850.00,Y
900210,2025-06-09,700111,3,6000.00,30,4800.00,1
900211,2024-02-06,700112,1,4200.00,,1354.14,N
900212,2024-11-11,700114,2,3500.00,,1750.00,
900213,2024-11-18,700114,5,3500.00,,1750.00,Yes
900214,2024-02-06,700115,5,7200.00,20,6450.00,1
900215,2024-02-14,700116,3,5400.00,,2700.00,No
900216,2024-02-21,700116,1,5400.00,,2700.00,Yes
900217,2024-01-15,700117,4,4200.00,30,1500.00,0
900218,2024-01-22,700117,1,4200.00,30,1500.00,Yes
900219,2024-02-09,700118,2,3500.00,30,1150.00,
900220,2024-02-16,700118,5,3500.00,30,1150.00,Yes
900221,2025-06-29,700119,2,4200.00,10,1409.32,No
900222,2025-07-06,700119,5,4200.00,10,1409.31,0
900223,2024-10-07,700120,4,4200.00,,4200.00,Yes
900224,2025-09-18,700121,3,6000.00,10,1132.34,N
900225,2025-09-25,700121,3,6000.00,10,1132.34,N
900226,2025-10-02,700121,2,6000.00,10,1132.35,N
900227,2023-12-17,700123,1,3500.00,,3500.00,Yes
900228,2025-09-01,700125,4,3500.00,20,2750.00,Yes
900229,2023-12-16,700126,5,4200.00,10,1233.33,
900230,2023-12-23,700126,1,4200.00,10,1233.33,N
900231,2023-12-30,700126,2,4200.00,10,1233.34,Y
900232,2024-04-19,700127,2,6000.00,,2000.00,No
900233,2024-04-26,700127,4,6000.00,,2000.00,0
900234,2024-05-03,700127,4,6000.00,,2000.00,1
900235,2024-11-21,700128,3,7200.00,,3600.00,No
900236,2024-11-28,700128,2,7200.00,,3600.00,Y
900237,2025-01-19,700129,4,6000.00,50,991.02,0
900238,2025-01-26,700129,1,6000.00,50,991.02,N
900239,2025-02-02,700129,3,6000.00,50,991.02,
900240,2025-02-09,700129,1,6000.00,50,991.03,0
900241,2024-05-11,700130,5,7200.00,30,1500.00,N
900242,2024-05-18,700130,2,7200.00,30,1500.00,N
900243,2024-05-25,700130,1,7200.00,30,1500.00,
900244,2024-06-01,700130,5,7200.00,30,1500.00,Y
900245,2025-05-21,700131,1,5400.00,,1800.00,No
900246,2025-05-28,700131,5,5400.00,,1800.00,
900247,2025-06-04,700131,1,5400.00,,1800.00,1
900248,2024-05-26,700132,1,4200.00,,1142.06,0
900249,2024-06-02,700132,2,4200.00,,1142.05,
900250,2024-10-13,700133,3,3500.00,10,3000.00,Yes
900251,2024-10-10,700134,2,7200.00,20,2150.00,No
900252,2024-10-17,700134,3,7200.00,20,2150.00,N
900253,2024-10-24,700134,5,7200.00,20,2150.00,Y
900254,2024-08-10,700135,5,4200.00,40,356.66,No
900255,2024-08-17,700135,1,4200.00,40,356.66,No
900256,2025-08-25,700136,4,4800.00,60,482.44,
900257,2025-09-01,700136,5,4800.00,60,482.44,No
900258,2025-09-08,700136,2,4800.00,60,482.44,No
900259,2025-09-15,700136,1,4800.00,60,482.45,No
900260,2024-03-08,700137,5,5400.00,,1800.00,0
900261,2024-03-15,700137,1,5400.00,,1800.00,
900262,2024-03-22,700137,5,5400.00,,1800.00,Y
900263,2024-08-06,700138,5,6000.00,40,1333.33,0
900264,2024-08-13,700138,1,6000.00,40,1333.33,0
900265,2024-08-20,700138,5,6000.00,40,1333.34,Yes
900266,2025-03-11,700139,1,5400.00,50,5100.00,Yes
900267,2024-09-07,700140,2,6000.00,,6000.00,1
900268,2024-10-15,700141,3,4200.00,30,651.06,
900269,2025-07-16,700142,4,7200.00,,7200.00,Y
900270,2023-12-03,700143,5,6000.00,50,1900.00,0
900271,2023-12-10,700143,1,6000.00,50,1900.00,0
900272,2023-12-17,700143,2,6000.00,50,1900.00,Y
900273,2024-11-03,700144,1,7200.00,50,1632.07,
900274,2024-11-10,700144,3,7200.00,50,1632.06,
900275,2025-01-20,700145,5,4800.00,10,1153.41,No
900276,2025-01-27,700145,3,4800.00,10,1153.41,No
900277,2025-05-20,700147,2,3500.00,,875.00,
900278,2025-05-27,700147,5,3500.00,,875.00,N
900279,2025-06-03,700147,1,3500.00,,875.00,
900280,2025-06-10,700147,3,3500.00,,875.00,Yes
900281,2025-07-21,700148,4,4200.00,,4200.00,1
900282,2025-04-14,700149,4,4800.00,,2523.78,No
900283,2025-09-28,700150,2,6000.00,,3000.00,0
900284,2025-10-05,700150,1,6000.00,,3000.00,Yes
900285,2024-09-05,700151,1,3500.00,,1750.00,N
900286,2024-09-12,700151,3,3500.00,,1750.00,Yes
900287,2025-02-23,700152,1,4800.00,60,1600.00,No
900288,2025-03-02,700152,1,4800.00,60,1600.00,0
900289,2025-03-09,700152,5,4800.00,60,1600.00,Yes
900290,2024-08-05,700153,5,6000.00,,3000.00,0
900291,2024-08-12,700153,5,6000.00,,3000.00,1
900292,2024-04-06,700154,4,3500.00,,545.75,No
900293,2024-04-13,700154,2,3500.00,,545.75,N
900294,2024-04-20,700154,4,3500.00,,545.75,
900295,2024-04-27,700154,2,3500.00,,545.76,
900296,2024-05-23,700155,3,7200.00,,3873.53,No
900297,2025-09-15,700156,1,5400.00,,1350.00,0
900298,2025-09-22,700156,4,5400.00,,1350.00,
900299,2025-09-29,700156,1,5400.00,,1350.00,N
900300,2025-10-06,700156,3,5400.00,,1350.00,Y
900301,2024-10-11,700157,4,4200.00,10,724.85,No
900302,2024-10-18,700157,2,4200.00,10,724.85,
900303,2024-10-25,700157,3,4200.00,10,724.85,No
900304,2024-11-01,700157,5,4200.00,10,724.86,0
900305,2024-08-20,700158,5,7200.00,40,2600.00,N
900306,2024-08-27,700158,3,7200.00,40,2600.00,1
900307,2024-04-23,700159,2,4200.00,40,2200.00,Y
900308,2024-01-16,700160,5,7200.00,,7200.00,Y
900309,2024-02-16,700161,1,7200.00,60,1603.47,N
900310,2024-02-23,700161,4,7200.00,60,1603.48,0
900311,2025-05-26,700162,2,6000.00,20,2625.00,No
900312,2025-06-02,700162,2,6000.00,20,2625.00,1
900313,2025-05-22,700164,4,4200.00,10,1221.13,0
900314,2025-05-29,700164,1,4200.00,10,1221.14,0
900315,2025-01-18,700166,5,6000.00,,6000.00,1
900316,2024-08-20,700168,4,4800.00,50,2250.00,0
900317,2024-08-27,700168,4,4800.00,50,2250.00,1
900318,2025-07-09,700169,1,7200.00,30,3000.00,
900319,2025-07-16,700169,4,7200.00,30,3000.00,Yes
900320,2025-03-03,700170,1,3500.00,,1166.67,N
900321,2025-03-10,700170,3,3500.00,,1166.67,No
900322,2025-03-17,700170,4,3500.00,,1166.66,1
900323,2024-11-30,700171,2,4800.00,50,512.14,No
900324,2024-12-07,700171,4,4800.00,50,512.15,N
900325,2024-11-08,700172,2,3500.00,10,1000.00,N
900326,2024-11-15,700172,5,3500.00,10,1000.00,
900327,2024-11-22,700172,4,3500.00,10,1000.00,Yes
900328,2024-05-31,700173,4,4200.00,,2100.00,
900329,2024-06-07,700173,1,4200.00,,2100.00,1
900330,2024-07-28,700174,2,5400.00,30,2100.00,0
900331,2024-08-04,700174,4,5400.00,30,2100.00,Y
900332,2025-02-05,700175,5,5400.00,60,1350.00,0
900333,2025-02-12,700175,5,5400.00,60,1350.00,
900334,2025-02-19,700175,1,5400.00,60,1350.00,N
900335,2025-02-26,700175,3,5400.00,60,1350.00,Y
900336,2025-01-21,700176,5,4200.00,50,975.00,
900337,2025-01-28,700176,5,4200.00,50,975.00,0
900338,2025-02-04,700176,5,4200.00,50,975.00,No
900339,2025-02-11,700176,1,4200.00,50,975.00,1
900340,2024-04-24,700177,4,7200.00,20,6450.00,Y
900341,2024-11-01,700178,5,7200.00,10,6700.00,Yes
900342,2024-02-15,700179,2,4800.00,,2400.00,N
900343,2024-02-22,700179,1,4800.00,,2400.00,1
900344,2024-06-23,700180,2,7200.00,40,2132.74,0
900345,2024-06-30,700180,3,7200.00,40,2132.74,N
900346,2025-05-10,700181,2,3500.00,,1393.69,N
900347,2025-05-17,700181,3,3500.00,,1393.69,
900348,2024-09-24,700182,4,5400.00,50,1700.00,
900349,2024-10-01,700182,5,5400.00,50,1700.00,N
900350,2024-10-08,700182,4,5400.00,50,1700.00,1
900351,2024-03-20,700183,3,4200.00,50,1950.00,No
900352,2024-03-27,700183,5,4200.00,50,1950.00,Yes
900353,2025-04-18,700184,4,6000.00,,2000.00,
900354,2025-04-25,700184,5,6000.00,,2000.00,No
900355,2025-05-02,700184,3,6000.00,,2000.00,1
900356,2025-04-25,700186,3,5400.00,20,1974.72,
900357,2025-05-02,700186,3,5400.00,20,1974.72,0
900358,2025-04-08,700187,1,5400.00,20,4650.00,Y
900359,2025-03-05,700189,3,4800.00,30,3600.00,1
900360,2025-07-26,700190,3,5400.00,,1224.26,0
900361,2025-08-02,700190,4,5400.00,,1224.26,
900362,2025-08-09,700190,5,5400.00,,1224.26,N
900363,2024-03-17,700191,4,4800.00,,2400.00,N
900364,2024-03-24,700191,5,4800.00,,2400.00,1
900365,2024-12-15,700192,3,5400.00,60,1800.00,0
900366,2024-12-22,700192,4,5400.00,60,1800.00,No
900367,2024-12-29,700192,3,5400.00,60,1800.00,Yes
900368,2023-12-09,700193,3,5400.00,40,1058.97,No
900369,2023-12-16,700193,4,5400.00,40,1058.97,
900370,2024-06-15,700195,4,6000.00,40,2000.00,No
900371,2024-06-22,700195,2,6000.00,40,2000.00,1
900372,2024-04-20,700196,1,3500.00,60,1114.63,0
900373,2024-04-27,700196,1,3500.00,60,1114.64,
900374,2024-05-11,700197,1,4200.00,,822.06,No
900375,2024-05-18,700197,5,4200.00,,822.06,No
900376,2024-05-25,700197,4,4200.00,,822.06,N
900377,2025-07-03,700199,2,4200.00,,762.58,N
900378,2025-07-10,700199,1,4200.00,,762.58,0
900379,2025-07-17,700199,3,4200.00,,762.57,
900380,2024-04-06,700200,2,7200.00,30,6000.00,Y
900381,2024-02-02,700201,1,3500.00,,3500.00,Y
900382,2024-01-13,700202,5,5400.00,,2700.00,
900383,2024-01-20,700202,5,5400.00,,2700.00,1
900384,2024-09-22,700203,2,5400.00,,2700.00,0
900385,2024-09-29,700203,4,5400.00,,2700.00,1
900386,2024-08-29,700204,1,4800.00,,1975.30,0
900387,2024-09-05,700204,5,4800.00,,1975.30,N
900388,2024-11-04,700206,4,3500.00,60,1492.62,N
900389,2024-11-11,700206,3,3500.00,60,1492.62,
900390,2024-11-05,700207,3,6000.00,40,2000.00,
900391,2024-11-12,700207,5,6000.00,40,2000.00,Y
900392,2024-11-15,700208,2,4800.00,60,1200.00,No
900393,2024-11-22,700208,2,4800.00,60,1200.00,
900394,2024-11-29,700208,2,4800.00,60,1200.00,No
900395,2024-12-06,700208,5,4800.00,60,1200.00,Yes
900396,2025-01-29,700209,4,6000.00,,2153.10,0
900397,2025-02-05,700209,2,6000.00,,2153.10,
900398,2024-03-21,700210,1,7200.00,,6122.74,No
900399,2024-01-21,700211,1,4800.00,,4168.88,0
900400,2025-07-29,700212,3,7200.00,,1920.85,
900401,2025-08-05,700212,2,7200.00,,1920.85,0
900402,2025-08-12,700212,3,7200.00,,1920.84,N
900403,2025-05-14,700214,2,3500.00,40,750.00,0
900404,2025-05-21,700214,4,3500.00,40,750.00,1
900405,2024-06-23,700215,3,5400.00,,2700.00,0
900406,2024-06-30,700215,1,5400.00,,2700.00,1
900407,2024-10-20,700216,3,7200.00,50,3450.00,N
900408,2024-10-27,700216,4,7200.00,50,3450.00,1
900409,2025-09-06,700217,4,7200.00,,7200.00,Y
900410,2024-12-19,700218,5,6000.00,40,597.14,N
900411,2024-12-26,700218,1,6000.00,40,597.14,0
900412,2025-01-02,700218,5,6000.00,40,597.14,
900413,2024-10-25,700219,2,3500.00,50,1600.00,
900414,2024-11-01,700219,1,3500.00,50,1600.00,Y
900415,2024-05-06,700220,4,6000.00,,1984.61,N
900416,2025-08-09,700221,5,7200.00,40,1300.00,No
900417,2025-08-16,700221,4,7200.00,40,1300.00,0
900418,2025-08-23,700221,4,7200.00,40,1300.00,N
900419,2025-08-30,700221,2,7200.00,40,1300.00,1
900420,2024-08-24,700222,5,7200.00,,7200.00,1
900421,2024-09-28,700223,5,4200.00,20,1412.31,No
900422,2025-04-27,700224,5,7200.00,10,6700.00,Y
900423,2024-02-07,700225,2,5400.00,,2700.00,
900424,2024-02-14,700225,5,5400.00,,2700.00,Yes
900425,2025-01-30,700226,2,4200.00,,2125.25,0
900426,2025-08-21,700227,2,6000.00,20,2700.95,0
900427,2024-06-23,700228,5,6000.00,10,1375.00,No
900428,2024-06-30,700228,1,6000.00,10,1375.00,No
900429,2024-07-07,700228,1,6000.00,10,1375.00,No
900430,2024-07-14,700228,1,6000.00,10,1375.00,Yes
900431,2024-06-09,700229,4,4800.00,,4800.00,1
900432,2025-03-05,700230,2,5400.00,60,1453.21,N
900433,2025-03-12,700230,5,5400.00,60,1453.21,No
900434,2025-03-19,700230,1,5400.00,60,1453.22,
900435,2025-08-15,700231,5,3500.00,50,3200.00,Y
900436,2024-02-23,700232,1,6000.00,60,3389.49,N
900437,2025-07-29,700233,5,3500.00,,3500.00,Yes
900438,2024-11-15,700234,4,6000.00,,1482.12,
900439,2024-11-22,700234,2,6000.00,,1482.11,
900440,2024-04-03,700235,1,6000.00,50,5700.00,1
900441,2024-10-02,700236,5,6000.00,,3418.06,
900442,2025-07-27,700237,5,7200.00,,2999.84,0
900443,2025-08-03,700237,5,7200.00,,2999.84,No
900444,2024-02-02,700238,4,5400.00,,723.38,0
900445,2024-02-09,700238,2,5400.00,,723.38,0
900446,2024-02-16,700238,5,5400.00,,723.38,No
900447,2024-04-28,700240,1,3500.00,,875.00,No
900448,2024-05-05,700240,4,3500.00,,875.00,
900449,2024-05-12,700240,1,3500.00,,875.00,N
900450,2024-05-19,700240,3,3500.00,,875.00,Y
900451,2025-03-23,700241,5,3500.00,,2552.32,No
900452,2024-10-29,700242,2,5400.00,,5400.00,1
900453,2025-02-20,700243,5,5400.00,,5400.00,Y
900454,2025-05-27,700244,5,3500.00,50,460.86,N
900455,2025-06-03,700244,2,3500.00,50,460.86,
900456,2025-06-10,700244,3,3500.00,50,460.86,No
900457,2025-06-17,700244,4,3500.00,50,460.87,N
900458,2024-10-09,700245,4,5400.00,,1800.00,
900459,2024-10-16,700245,4,5400.00,,1800.00,
900460,2024-10-23,700245,3,5400.00,,1800.00,1
900461,2025-09-03,700246,4,4200.00,,4200.00,Y
900462,2025-04-01,700247,5,4200.00,50,3900.00,1
900463,2025-04-24,700249,5,4200.00,30,1000.00,0
900464,2025-05-01,700249,2,4200.00,30,1000.00,No
900465,2025-05-08,700249,4,4200.00,30,1000.00,Y
900466,2025-04-18,700250,1,3500.00,30,338.62,N
900467,2025-04-25,700250,5,3500.00,30,338.62,N
900468,2025-05-02,700250,5,3500.00,30,338.61,No
900469,2024-04-12,700251,4,4800.00,,1200.00,N
900470,2024-04-19,700251,5,4800.00,,1200.00,
900471,2024-04-26,700251,4,4800.00,,1200.00,N
900472,2024-05-03,700251,5,4800.00,,1200.00,Y
900473,2025-08-28,700252,3,7200.00,,7200.00,Yes
900474,2025-06-07,700255,1,7200.00,,1139.07,
900475,2025-06-14,700255,1,7200.00,,1139.07,
900476,2025-06-21,700255,5,7200.00,,1139.08,No
900477,2024-12-24,700256,5,5400.00,,3398.80,0
900478,2025-08-29,700257,4,4200.00,50,975.00,N
900479,2025-09-05,700257,2,4200.00,50,975.00,
900480,2025-09-12,700257,1,4200.00,50,975.00,No
900481,2025-09-19,700257,3,4200.00,50,975.00,Yes
900482,2024-05-19,700258,2,7200.00,,3600.00,0
900483,2024-05-26,700258,4,7200.00,,3600.00,1
900484,2025-08-07,700259,4,7200.00,,3600.00,N
900485,2025-08-14,700259,4,7200.00,,3600.00,Y
900486,2025-04-09,700260,5,7200.00,20,3225.00,0
900487,2025-04-16,700260,4,7200.00,20,3225.00,1
900488,2024-02-07,700261,2,4200.00,40,2200.00,Y
900489,2024-01-14,700262,4,3500.00,,3500.00,1
