enrl_id,enrl_date,stu_id,course_id,cohort_id,status
700209,2025-01-29,5160,208,311,active
700210,2024-03-21,5238,221,303,active
700211,2024-01-21,5504,222,302,active
700212,2025-07-29,5413,220,315,active
700213,2025-05-21,5585,218,313,active
700214,2025-05-14,5579,204,313,active
700215,2024-06-23,5454,207,305,active
700216,2024-10-20,5142,206,308,active
700217,2025-09-06,5104,205,316,active
700218,2024-12-19,5512,203,310,active
700219,2024-10-25,5291,219,308,active
700220,2024-05-06,5049,221,304,active
700221,2025-08-09,5165,222,315,active
700222,2024-08-24,5257,222,307,active
700223,2024-09-28,5265,215,308,active
700224,2025-04-27,5113,215,313,active
700225,2024-02-07,5463,205,302,active
700226,2025-01-30,5510,202,311,active
700227,2025-08-21,5040,223,316,active
700228,2024-06-23,5510,211,305,cancelled
700229,2024-06-09,5501,204,305,active
700230,2025-03-05,5296,213,312,active
700231,2025-08-15,5139,224,315,active
700232,2024-02-23,5571,217,303,active
700233,2025-07-29,5595,203,315,active
700234,2024-11-15,5300,218,309,active
700235,2024-04-03,5202,213,304,active
700236,2024-10-02,5137,207,308,active
700237,2025-07-27,5004,211,315,active
700238,2024-02-02,5043,201,302,active
700239,2024-04-05,5463,210,304,active
700240,2024-04-28,5245,208,304,active
700241,2025-03-23,5074,204,312,active
700242,2024-10-29,5521,216,309,active
700243,2025-02-20,5119,206,311,active
700244,2025-05-27,5208,201,314,active
700245,2024-10-09,5118,216,308,active
700246,2025-09-03,5494,215,316,active
700247,2025-04-01,5053,201,312,active
700248,2024-08-11,5543,221,307,active
700249,2025-04-24,5360,212,313,active
700250,2025-04-18,5460,212,313,active
700251,2024-04-12,5020,201,304,active
700252,2025-08-28,5172,208,316,active
700253,2024-10-11,5062,209,308,active
700254,2024-12-13,5387,215,310,active
700255,2025-06-07,5380,204,314,active
700256,2024-12-24,5586,208,310,active
700257,2025-08-29,5401,205,316,active
700258,2024-05-19,5006,222,305,active
700259,2025-08-07,5005,206,315,active
700260,2025-04-09,5044,207,312,active
700261,2024-02-07,5244,207,302,active
700262,2024-01-14,5490,210,302,active
700263,2024-03-11,5405,207,303,active
700264,2024-12-22,5250,202,310,active
700265,2024-06-29,5496,223,306,active
700266,2024-04-27,5396,218,304,active
700267,2025-09-11,5400,222,316,active
700268,2024-05-09,5021,218,304,active
700269,2024-05-11,5528,221,304,active
700270,2025-08-05,5427,201,315,active
700271,2024-03-18,5354,204,303,active
700272,2024-11-11,5294,214,309,active
700273,2024-01-30,5599,218,302,active
700274,2025-03-08,5002,207,312,active
700275,2024-08-21,5185,203,307,active
700276,2025-04-23,5536,216,313,active
700277,2025-07-07,5483,210,315,active
700278,2025-02-14,5442,224,311,active
700279,2025-06-14,5080,216,314,active
700280,2024-01-21,5295,214,302,active
700281,2025-08-11,5105,223,315,active
700282,2024-08-13,5534,209,307,active
700283,2024-07-08,5159,203,306,active
700284,2024-10-09,5412,221,308,active
700285,2025-07-06,5543,202,315,active
700286,2024-06-06,5297,207,305,active
700287,2025-01-07,5258,221,310,active
700288,2025-01-18,5192,212,310,active
700289,2024-03-06,5009,224,303,active
700290,2025-03-16,5485,219,312,active
700291,2024-10-26,5256,218,308,active
700292,2025-09-01,5279,204,316,cancelled
700293,2025-02-27,5351,204,311,active
700294,2024-11-18,5298,210,309,active
700295,2024-08-17,5220,204,307,active
700296,2024-02-25,5064,205,303,active
700297,2024-03-23,5566,205,303,active
700298,2025-08-21,5207,209,316,active
700299,2024-02-11,5440,211,302,active
700300,2025-03-24,5512,223,312,active
700301,2025-04-29,5597,214,313,active
700302,2024-06-12,5125,203,305,active
700303,2024-03-15,5246,218,303,active
700304,2024-06-23,5441,204,306,cancelled
700305,2025-08-07,5553,202,315,active
700306,2024-08-31,5421,203,307,active
700307,2025-03-22,5096,201,312,active
700308,2024-08-01,5141,209,306,active
700309,2024-04-08,5035,210,304,active
700310,2024-11-10,5369,203,309,active
700311,2025-07-30,5436,222,315,active
700312,2025-07-13,5388,215,315,active
700313,2024-03-11,5053,210,303,cancelled
700314,2025-01-17,5059,206,310,active
700315,2024-02-17,5427,202,302,active
700316,2024-10-26,5212,218,308,active
700317,2025-08-07,5576,201,315,active
700318,2025-09-18,5065,202,316,active
700319,2025-07-17,5238,213,315,active
700320,2024-05-18,5282,209,305,active
700321,2023-12-30,5023,204,301,active
700322,2024-11-25,5246,205,309,active
700323,2025-08-04,5382,215,315,active
700324,2025-08-24,5078,211,316,active
700325,2024-11-16,5107,203,309,active
700326,2024-02-22,5047,223,303,active
700327,2024-05-01,5449,206,304,cancelled
700328,2024-03-22,5453,208,303,active
700329,2025-06-13,5487,219,314,active
700330,2025-03-28,5595,201,312,active
700331,2024-12-07,5410,204,310,active
700332,2025-02-11,5518,205,311,cancelled
700333,2025-07-19,5553,205,315,active
700334,2025-01-17,5231,212,310,active
700335,2024-08-04,5261,219,306,active
700336,2025-09-21,5196,208,316,active
700337,2025-09-07,5271,221,316,active
700338,2024-09-30,5150,204,308,active
700339,2024-10-26,5542,201,308,active
700340,2023-12-01,5451,204,301,active
700341,2023-12-31,5291,203,301,active
700342,2024-09-23,5206,206,308,active
700343,2024-01-10,5548,210,302,active
700344,2025-09-05,5149,222,316,active
700345,2025-04-20,5130,210,313,active
700346,2024-06-15,5443,213,305,active
700347,2024-11-03,5493,223,309,active
700348,2024-06-09,5532,203,305,active
700349,2024-01-10,5575,216,302,active
700350,2024-06-14,5301,217,305,active
700351,2024-11-08,5245,222,309,cancelled
700352,2024-05-16,5448,222,305,active
700353,2024-08-03,5466,213,306,active
700354,2024-08-14,5270,207,307,active
700355,2025-05-16,5198,222,313,active
700356,2024-12-24,5155,220,310,active
700357,2024-08-05,5473,211,307,active
700358,2024-04-06,5509,203,304,active
700359,2024-10-11,5351,203,308,active
700360,2025-02-19,5349,204,311,active
700361,2024-01-31,5077,204,302,active
700362,2024-01-08,5531,215,302,active
700363,2025-04-12,5103,208,312,active
700364,2025-09-28,5489,206,316,active
700365,2025-02-01,5053,219,311,active
700366,2025-07-05,5257,214,314,active
700367,2025-03-19,5166,219,312,active
700368,2025-05-05,5040,206,313,active
700369,2025-04-13,5145,217,313,active
700370,2024-10-07,5133,205,308,active
700371,2024-06-26,5498,204,306,active
700372,2024-06-14,5322,205,305,active
700373,2024-10-07,5321,220,308,active
700374,2025-01-05,5289,224,310,active
700375,2024-11-17,5026,208,309,active
700376,2023-12-10,5120,214,301,active
700377,2024-03-17,5344,215,303,active
700378,2025-05-20,5228,211,313,active
700379,2024-07-17,5015,220,306,active
700380,2024-05-10,5250,205,305,active
700381,2024-05-29,5378,216,305,active
700382,2025-07-06,5173,218,315,active
700383,2024-03-18,5138,224,303,active
700384,2024-12-01,5016,202,309,active
700385,2025-06-12,5506,201,314,active
700386,2025-05-26,5239,205,314,active
700387,2025-01-30,5424,208,311,active
700388,2024-05-05,5504,204,304,active
700389,2025-09-26,5392,221,316,active
700390,2025-05-05,5175,216,313,active
700391,2025-01-18,5064,204,311,active
700392,2024-02-04,5164,222,302,active
700393,2025-09-09,5554,202,316,active
700394,2025-03-17,5092,211,312,active
700395,2025-06-15,5597,218,314,cancelled
700396,2024-02-27,5442,222,303,active
700397,2024-12-21,5240,221,310,active
700398,2024-09-11,5490,213,307,active
700399,2025-01-09,5052,220,310,active
700400,2024-01-13,5385,213,302,active
700401,2024-10-20,5482,210,308,active
700402,2025-05-01,5156,213,313,active
700403,2025-08-21,5236,217,316,active
700404,2025-07-31,5352,221,315,active
700405,2024-03-16,5062,220,303,active
700406,2025-01-03,5045,211,310,active
700407,2024-12-07,5385,206,310,active
700408,2025-04-05,5192,222,312,active
700409,2024-02-06,5517,224,302,active
700410,2025-04-17,5471,217,313,active
700411,2024-03-30,5268,205,304,active
700412,2024-01-28,5468,210,302,active
700413,2025-06-13,5445,224,314,active
700414,2024-08-07,5061,209,307,active
700415,2025-05-30,5241,201,314,active
700416,2024-05-24,5513,207,305,active
700417,2024-01-06,5434,206,301,active
700418,2025-08-08,5069,212,315,active
700419,2023-12-26,5296,210,301,active
700420,2024-07-27,5392,204,306,active
700421,2024-03-22,5004,224,303,active
700422,2025-04-11,5104,222,312,active
700423,2025-07-04,5235,220,314,cancelled
700424,2024-01-18,5363,204,302,active
700425,2025-02-20,5127,224,311,active
700426,2025-08-12,5103,201,315,active
700427,2025-08-25,5437,210,316,active
700428,2025-03-27,5117,212,312,active
700429,2025-06-04,5305,223,314,active
700430,2025-03-29,5299,215,312,active
700431,2025-05-04,5299,203,313,active
700432,2025-04-19,5457,222,313,active
700433,2024-05-09,5162,221,304,active
700434,2025-01-12,5178,204,310,active
700435,2024-01-05,5346,213,302,active
700436,2025-02-18,5008,207,311,cancelled
700437,2024-12-18,5241,213,310,active
700438,2024-03-26,5349,207,303,active
700439,2024-09-08,5135,210,307,active
700440,2023-12-13,5024,208,301,active
700441,2024-11-11,5032,216,309,active
700442,2024-02-02,5307,202,302,active
700443,2024-05-14,5090,212,305,active
700444,2024-12-08,5083,201,310,active
700445,2024-05-19,5179,203,305,active
700446,2025-02-12,5397,215,311,active
700447,2024-01-06,5040,218,301,active
700448,2025-01-04,5386,217,310,active
700449,2025-07-06,5276,206,315,active
700450,2024-02-20,5555,219,303,cancelled
700451,2023-12-17,5580,209,301,active
700452,2025-04-03,5033,224,312,active
700453,2025-08-31,5554,224,316,active
700454,2025-05-10,5140,210,313,cancelled
700455,2024-06-23,5176,205,306,active
700456,2025-06-07,5266,208,314,active
700457,2025-01-25,5162,201,311,active
700458,2025-07-06,5556,213,315,active
700459,2025-08-22,5359,207,316,active
700460,2024-05-19,5367,211,305,active
700461,2025-05-18,5388,209,313,active
700462,2025-07-23,5006,218,315,active
700463,2024-08-16,5277,208,307,active
700464,2024-06-02,5447,207,305,active
700465,2024-04-29,5494,209,304,active
700466,2024-02-26,5400,201,303,active
700467,2024-03-23,5435,223,303,active
700468,2024-11-08,5448,218,309,active
700469,2025-07-02,5562,220,314,active
700470,2023-12-18,5348,222,301,active
700471,2024-09-07,5153,221,307,active
700472,2024-12-01,5181,216,309,cancelled
700473,2024-08-02,5232,224,306,active
700474,2023-12-06,5477,208,301,active
700475,2025-03-24,5258,204,312,active
700476,2025-02-11,5394,211,311,active
700477,2025-06-09,5299,201,314,active
700478,2024-05-29,5321,205,305,active
700479,2025-02-19,5196,214,311,active
700480,2025-02-07,5435,215,311,active
700481,2024-04-11,5513,202,304,active
700482,2024-06-26,5313,206,306,active
700483,2025-08-31,5014,222,316,active
700484,2025-08-28,5166,221,316,active
700485,2025-01-29,5335,224,311,active
700486,2025-09-13,5353,217,316,active
700487,2025-05-20,5343,202,313,active
700488,2025-03-24,5150,205,312,active
700489,2024-08-24,5545,203,307,active
700490,2025-07-06,5490,216,314,active
700491,2025-02-15,5164,215,311,active
700492,2024-04-01,5204,204,304,active
700493,2024-08-16,5524,221,307,active
700494,2024-09-09,5032,223,307,active
700495,2025-08-06,5231,224,315,active
700496,2023-12-13,5204,218,301,active
700497,2025-01-11,5311,211,310,active
700498,2024-04-22,5592,205,304,active
700499,2024-03-08,5211,224,303,active
700500,2024-06-13,5278,211,305,active
700501,2024-12-07,5486,223,309,active
700502,2024-05-26,5547,203,305,active
700503,2024-01-28,5513,216,302,active
700504,2025-03-13,5062,207,312,active
700505,2025-03-16,5429,205,312,active
700506,2024-03-14,5182,219,303,active
700507,2025-08-04,5435,214,315,active
700508,2024-06-06,5275,211,305,active
700509,2025-02-13,5422,217,311,active
700510,2024-09-15,5229,202,307,active
700511,2025-03-05,5389,211,312,cancelled
700512,2024-04-19,5097,206,304,active
700513,2025-07-01,5256,210,314,active
700514,2024-05-16,5527,217,305,active
700515,2024-08-09,5335,213,307,active
700516,2024-12-07,5179,219,309,active
700517,2025-05-10,5331,207,313,active
700518,2025-09-04,5405,202,316,active
700519,2024-03-31,5482,214,304,active
700520,2024-07-04,5331,222,306,active
700521,2025-06-28,5413,201,314,active
700522,2024-04-22,5405,210,304,active
700523,2025-08-02,5461,201,315,active
700524,2025-07-06,5464,205,314,active
700525,2025-04-26,5273,209,313,active
700526,2024-11-08,5542,216,309,active
700527,2025-09-09,5519,222,316,active
700528,2024-05-30,5428,205,305,active
700529,2024-01-19,5429,222,302,active
700530,2025-02-16,5207,224,311,active
700531,2025-02-28,5225,211,311,active
700532,2024-11-22,5397,203,309,active
700533,2025-01-02,5274,223,310,cancelled
700534,2024-03-12,5494,224,303,active
700535,2025-04-27,5332,212,313,active
700536,2025-01-23,5270,213,311,active
700537,2025-04-16,5319,218,313,active
700538,2025-04-03,5324,219,312,active
700539,2024-06-22,5485,219,305,active
700540,2024-11-29,5499,222,309,active
700541,2024-10-16,5510,213,308,active
700542,2024-05-26,5385,215,305,active
700543,2024-03-29,5149,205,303,active
700544,2024-04-23,5060,220,304,active
700545,2024-07-12,5482,218,306,active
700546,2025-05-09,5227,216,313,active
700547,2025-02-09,5027,219,311,active
700548,2025-08-16,5425,209,315,active
700549,2024-08-03,5420,221,306,active
700550,2024-10-23,5352,203,308,active
700551,2024-09-29,5493,222,308,active
700552,2024-06-29,5537,220,306,active
700553,2024-02-25,5429,214,303,active
700554,2024-03-13,5500,204,303,active
700555,2025-03-07,5092,213,312,active
700556,2025-03-12,5559,210,312,active
700557,2024-03-31,5056,211,303,active
700558,2024-02-13,5022,219,302,active
700559,2025-05-31,5458,219,314,active
700560,2025-09-25,5405,207,316,active
700561,2024-01-17,5569,218,302,active
700562,2023-12-21,5579,220,301,active
700563,2025-05-23,5417,223,314,active
700564,2024-12-08,5307,209,309,active
700565,2024-01-06,5094,224,302,active
700566,2024-11-15,5501,202,309,active
700567,2024-04-19,5356,211,304,active
700568,2024-08-03,5392,209,306,active
700569,2024-08-24,5199,209,307,active
700570,2024-09-11,5592,212,307,active
700571,2025-04-26,5513,219,313,active
700572,2025-05-29,5407,206,314,active
700573,2024-10-27,5535,209,309,active
700574,2025-05-24,5259,223,314,active
700575,2024-07-21,5521,205,306,active
700576,2024-10-29,5234,213,309,active
700577,2024-10-13,5173,224,308,active
700578,2023-12-10,5212,224,301,active
700579,2025-04-21,5028,213,313,active
700580,2025-01-03,5080,208,310,active
700581,2025-04-21,5057,216,313,active
700582,2024-04-20,5421,215,304,active
700583,2023-12-09,5005,224,301,active
700584,2025-04-11,5394,224,313,active
700585,2024-10-14,5250,202,308,active
700586,2024-09-25,5394,216,308,active
700587,2025-06-24,5141,203,314,cancelled
700588,2024-12-06,5293,210,309,active
700589,2024-03-11,5551,214,303,active
700590,2024-05-16,5372,218,305,active
700591,2024-05-15,5076,216,305,active
700592,2024-03-18,5600,206,303,active
700593,2024-02-02,5237,215,302,active
700594,2025-03-13,5348,206,312,active
700595,2024-02-12,5316,206,302,cancelled
700596,2025-02-03,5245,221,311,active
700597,2024-03-23,5240,208,303,active
700598,2023-12-31,5282,201,301,active
700599,2024-12-19,5433,201,310,active
700600,2023-11-28,5422,220,301,active
700601,2025-08-28,5551,211,316,active
700602,2025-01-25,5049,206,311,active
700603,2024-02-27,5390,213,303,active
700604,2024-02-03,5136,215,302,active
700605,2024-05-11,5593,205,305,active
700606,2024-04-15,5396,206,304,cancelled
700607,2024-12-08,5533,212,310,active
700608,2025-02-23,5015,201,311,active
700609,2025-04-21,5545,221,313,active
700610,2024-07-08,5556,214,306,active
700611,2025-05-05,5278,217,313,active
700612,2024-12-07,5329,210,310,active
700613,2024-02-03,5406,218,302,active
700614,2025-07-18,5210,201,315,active
700615,2025-02-12,5356,204,311,active
700616,2024-02-24,5210,223,303,active
700617,2025-07-04,5179,213,314,active
700618,2024-10-27,5468,206,309,active
700619,2025-07-30,5388,223,315,active
700620,2023-12-30,5530,208,301,active
700621,2024-03-30,5461,213,304,active
700622,2024-06-13,5074,220,305,active
700623,2024-12-29,5260,222,310,active
700624,2024-08-10,5430,203,307,active
700625,2025-07-28,5305,208,315,active
700626,2024-11-18,5258,218,309,active
700627,2025-09-11,5272,223,316,cancelled
700628,2025-06-15,5411,211,314,active
700629,2025-04-23,5412,211,313,active
700630,2025-09-08,5535,222,316,cancelled
700631,2024-05-16,5369,212,305,active
700632,2024-04-27,5378,207,304,active
700633,2024-07-11,5402,214,306,active
700634,2025-01-17,5191,214,311,active
700635,2024-05-11,5246,207,305,active
700636,2025-08-26,5369,216,316,active
700637,2024-07-11,5544,208,306,active
700638,2024-08-06,5484,219,307,active
700639,2023-11-27,5579,221,301,active
700640,2024-05-10,5512,217,305,active
700641,2024-07-12,5313,212,306,active
700642,2024-05-11,5155,215,304,cancelled
700643,2024-07-18,5418,218,306,active
700644,2025-07-13,5300,223,315,active
700645,2024-12-23,5483,207,310,active
700646,2025-08-04,5245,216,315,active
700647,2024-01-19,5531,208,302,active
700648,2024-10-15,5104,206,308,active
700649,2025-07-06,5160,205,315,active
700650,2024-11-25,5037,215,309,active
700651,2024-02-16,5072,206,303,active
700652,2024-04-23,5196,204,304,active
700653,2025-06-28,5451,205,314,active
700654,2023-12-20,5513,211,301,active
700655,2024-06-01,5592,207,305,active
700656,2025-05-31,5085,218,314,active
700657,2025-07-09,5211,217,315,active
700658,2024-04-01,5589,207,304,active
700659,2024-10-02,5511,207,308,active
700660,2024-08-25,5184,217,307,active
700661,2024-03-01,5431,207,303,active
700662,2024-01-29,5081,217,302,active
700663,2024-10-26,5564,203,309,active
700664,2025-07-07,5562,218,315,active
700665,2025-05-05,5022,210,313,active
700666,2024-02-08,5208,219,302,active
700667,2024-06-01,5240,218,305,active
700668,2024-08-18,5295,216,307,active
700669,2024-01-20,5409,220,302,active
700670,2025-07-12,5415,209,315,active
700671,2024-03-27,5247,220,303,active
700672,2024-07-18,5104,209,306,active
700673,2024-04-23,5415,205,304,active
700674,2025-04-06,5531,204,312,active
700675,2024-08-11,5126,207,307,active
700676,2024-09-03,5370,211,307,active
700677,2024-09-29,5384,204,308,active
700678,2024-01-23,5107,207,302,active
700679,2024-09-22,5540,205,308,cancelled
700680,2024-04-10,5541,210,304,active
700681,2025-04-30,5199,212,313,active
700682,2025-04-08,5007,222,312,active
700683,2024-04-20,5416,218,304,active
700684,2024-09-18,5024,209,308,active
700685,2024-07-30,5399,217,306,cancelled
700686,2025-09-09,5305,201,316,active
700687,2025-08-28,5595,203,316,active
700688,2024-07-30,5013,206,306,active
700689,2024-05-31,5561,223,305,active
700690,2024-10-23,5155,210,308,active
700691,2024-09-03,5293,212,307,active
700692,2025-09-19,5304,202,316,active
700693,2025-01-18,5521,214,311,active
700694,2024-06-17,5219,207,305,active
700695,2024-05-11,5533,201,305,active
700696,2024-10-20,5510,222,308,cancelled
700697,2024-08-12,5344,210,307,active
700698,2024-12-19,5136,213,310,active
700699,2023-12-20,5289,201,301,active
700700,2024-09-30,5046,217,308,active
700701,2024-01-16,5474,216,302,active
700702,2024-10-01,5333,202,308,active
700703,2025-02-28,5056,211,312,active
700704,2025-07-05,5031,215,315,active
700705,2024-02-04,5575,205,302,cancelled
700706,2024-06-22,5042,204,306,active
700707,2023-12-18,5435,223,301,active
700708,2025-01-24,5446,223,311,active
700709,2024-07-16,5541,207,306,active
700710,2024-12-02,5274,220,309,active
700711,2024-08-09,5459,202,307,active
700712,2025-04-01,5502,209,312,active
700713,2025-05-14,5117,219,313,active
700714,2025-03-03,5405,208,312,active
700715,2024-11-12,5125,201,309,active
700716,2024-09-27,5184,213,308,active
700717,2024-11-04,5109,216,309,active
700718,2024-11-07,5028,223,309,active
700719,2024-02-21,5417,220,303,active
700720,2025-07-10,5288,219,315,active
700721,2024-04-30,5184,217,304,active
700722,2024-02-03,5532,212,302,active
700723,2025-06-12,5393,219,314,active
700724,2025-07-18,5015,204,315,active
700725,2025-05-23,5407,222,313,active
700726,2024-09-22,5377,212,308,active
700727,2024-09-04,5510,207,307,active
700728,2024-06-24,5504,219,306,active
