ProductID	ProductName	ProductCategory	ProductSubCategory	ProductContainer	ProductBaseMargin
738036	3.6 Cubic Foot Counter Height Office Refrigerator	Office Supplies	Appliances	Jumbo Drum	0.57
364705	300 Series Non-Flip	Technology	Telephones and Communication	Small Box	0.60
529361	3285	Technology	Telephones and Communication	Small Box	0.59
781795	3390	Technology	Telephones and Communication	Small Box	0.57
490866	3395	Technology	Telephones and Communication	Small Box	0.58
450797	36X48 HARDFLOOR CHAIRMAT	Furniture	Office Furnishings	Medium Box	0.78
700324	3M Hangers With Command Adhesive	Furniture	Office Furnishings	Wrap Bag	0.44
114359	3M Office Air Cleaner	Office Supplies	Appliances	Medium Box	0.50
89922	3M Organizer Strips	Office Supplies	Binders and Binder Accessories	Small Box	0.37
236065	3M Polarizing Light Filter Sleeves	Furniture	Office Furnishings	Small Pack	0.39
217285	"3M Polarizing Task Lamp with Clamp Arm, Light Gray"	Furniture	Office Furnishings	Large Box	0.59
899010	4009¨ Highlighters by Sanford	Office Supplies	Pens & Art Supplies	Wrap Bag	0.52
924094	5125	Technology	Telephones and Communication	Small Box	0.59
344239	5165	Technology	Telephones and Communication	Small Box	0.59
748546	5170	Technology	Telephones and Communication	Small Box	0.59
259219	5170i	Technology	Telephones and Communication	Small Box	0.57
986755	5180	Technology	Telephones and Communication	Small Box	0.56
251489	5185	Technology	Telephones and Communication	Small Box	0.58
246671	5190	Technology	Telephones and Communication	Small Box	0.59
793455	"6"" Cubicle Wall Clock, Black"	Furniture	Office Furnishings	Small Box	0.49
66293	600 Series Flip	Technology	Telephones and Communication	Small Box	0.57
580148	600 Series Non-Flip	Technology	Telephones and Communication	Small Box	0.57
691869	6000	Technology	Telephones and Communication	Small Box	0.55
275481	6120	Technology	Telephones and Communication	Small Box	0.58
738011	6160	Technology	Telephones and Communication	Small Box	0.57
512866	6162	Technology	Telephones and Communication	Small Box	0.59
592978	6162i	Technology	Telephones and Communication	Small Box	0.55
500802	6162m	Technology	Telephones and Communication	Small Box	0.57
403726	6185	Technology	Telephones and Communication	Small Box	0.58
796442	6190	Technology	Telephones and Communication	Small Box	0.55
594736	6340	Technology	Telephones and Communication	Small Box	0.58
414885	636	Technology	Telephones and Communication	Small Box	0.57
192952	688	Technology	Telephones and Communication	Small Box	0.60
654261	7160	Technology	Telephones and Communication	Small Box	0.59
851117	"80 Minute CD-R Spindle, 100/Pack - Staples"	Technology	Computer Peripherals	Small Pack	0.54
564279	"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples"	Technology	Computer Peripherals	Small Pack	0.52
892166	8260	Technology	Telephones and Communication	Small Box	0.58
567704	8290	Technology	Telephones and Communication	Small Box	0.60
767830	8860	Technology	Telephones and Communication	Small Box	0.56
238390	8890	Technology	Telephones and Communication	Small Box	0.58
539744	9-3/4 Diameter Round Wall Clock	Furniture	Office Furnishings	Small Box	0.43
382992	A1228	Technology	Telephones and Communication	Small Box	0.58
666242	Accessory1	Technology	Telephones and Communication	Small Pack	0.36
988535	Accessory12	Technology	Telephones and Communication	Small Box	0.35
444231	Accessory13	Technology	Telephones and Communication	Small Pack	0.57
328029	Accessory15	Technology	Telephones and Communication	Small Pack	0.83
858029	Accessory17	Technology	Telephones and Communication	Wrap Bag	0.82
335550	Accessory2	Technology	Telephones and Communication	Small Pack	0.55
877175	Accessory20	Technology	Telephones and Communication	Small Pack	0.37
394140	Accessory21	Technology	Telephones and Communication	Wrap Bag	0.37
577469	Accessory23	Technology	Telephones and Communication	Small Pack	0.36
925732	Accessory24	Technology	Telephones and Communication	Small Pack	0.59
106849	Accessory25	Technology	Telephones and Communication	Wrap Bag	0.57
753117	Accessory27	Technology	Telephones and Communication	Small Box	0.85
904387	Accessory28	Technology	Telephones and Communication	Small Pack	0.83
586808	Accessory29	Technology	Telephones and Communication	Small Pack	0.83
196162	Accessory31	Technology	Telephones and Communication	Small Pack	0.35
209111	Accessory32	Technology	Telephones and Communication	Small Pack	0.35
72479	Accessory34	Technology	Telephones and Communication	Wrap Bag	0.55
332331	Accessory35	Technology	Telephones and Communication	Small Box	0.55
259517	Accessory36	Technology	Telephones and Communication	Small Pack	0.83
528379	Accessory37	Technology	Telephones and Communication	Wrap Bag	0.81
933326	Accessory39	Technology	Telephones and Communication	Small Pack	0.81
529796	Accessory4	Technology	Telephones and Communication	Wrap Bag	0.85
803900	Accessory41	Technology	Telephones and Communication	Wrap Bag	0.38
367450	Accessory6	Technology	Telephones and Communication	Small Pack	0.80
990658	Accessory8	Technology	Telephones and Communication	Small Pack	0.39
771470	Accessory9	Technology	Telephones and Communication	Small Pack	0.39
399791	Acco 3-Hole Punch	Office Supplies	Binders and Binder Accessories	Small Box	0.37
923574	Acco 6 Outlet Guardian Premium Surge Suppressor	Office Supplies	Appliances	Small Box	0.58
151557	"Acco Clips to Goª Binder Clips, 24 Clips in Two Sizes"	Office Supplies	Rubber Bands	Wrap Bag	0.38
258022	Acco D-Ring Binder w/DublLock¨	Office Supplies	Binders and Binder Accessories	Small Box	0.36
729684	"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"""	Office Supplies	Binders and Binder Accessories	Small Box	0.40
658101	Acco Keyboard-In-A-Box¨	Technology	Computer Peripherals	Small Box	0.78
416583	Acco Perma¨ 2700 Stacking Storage Drawers	Office Supplies	Storage & Organization	Small Box	0.70
847898	Acco Perma¨ 3000 Stacking Storage Drawers	Office Supplies	Storage & Organization	Small Box	0.66
604088	"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue"	Office Supplies	Binders and Binder Accessories	Small Box	0.36
1013737	"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"	Office Supplies	Binders and Binder Accessories	Small Box	0.40
368543	"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue"	Office Supplies	Binders and Binder Accessories	Small Box	0.36
432501	"Acco PRESSTEX¨ Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""	Office Supplies	Binders and Binder Accessories	Small Box	0.36
259382	"Acco PRESSTEX¨ Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11"""	Office Supplies	Binders and Binder Accessories	Small Box	0.36
463033	"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders"	Office Supplies	Binders and Binder Accessories	Small Box	0.38
809305	"Acco Six-Outlet Power Strip, 4' Cord Length"	Office Supplies	Appliances	Small Box	0.59
772510	Acco Smartsocket¨ Color-Coded Six-Outlet AC Adapter Model Surge Protectors	Office Supplies	Appliances	Small Box	0.59
469515	"Acco Smartsocketª Table Surge Protector, 6 Color-Coded Adapter Outlets"	Office Supplies	Appliances	Small Box	0.55
373440	Acco Suede Grain Vinyl Round Ring Binder	Office Supplies	Binders and Binder Accessories	Small Box	0.39
638256	Acco¨ Hot Clipsª Clips to Go	Office Supplies	Rubber Bands	Wrap Bag	0.40
577552	Accohide Poly Flexible Ring Binders	Office Supplies	Binders and Binder Accessories	Small Box	0.35
341229	"ACCOHIDE¨ 3-Ring Binder, Blue, 1"""	Office Supplies	Binders and Binder Accessories	Small Box	0.38
234415	ACCOHIDE¨ Binder by Acco	Office Supplies	Binders and Binder Accessories	Small Box	0.38
260010	"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut"	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.58
911552	Acme Galleria¨ Hot Forged Steel Scissors with Colored Handles	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.56
863849	"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L"	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.56
535988	Acme Kleencut¨ Forged Steel Scissors	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.55
865125	"Acme¨ 8"" Straight Scissors"	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.60
1038283	Acme¨ Box Cutter Scissors	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.59
624282	Acme¨ Design Stainless Steel Bent Scissors	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.58
858912	Acme¨ Elite Stainless Steel Scissors	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.59
577331	Acme¨ Forged Steel Scissors with Black Enamel Handles	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.56
225839	Acme¨ Office Executive Series Stainless Steel Trimmers	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.59
559119	Acme¨ Preferred Stainless Steel Scissors	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	0.56
381880	"Adams ""While You Were Out"" Message Pads"	Office Supplies	Paper	Wrap Bag	0.40
424146	"Adams Phone Message Book, 200 Message Capacity, 8 1/16Ó x 11Ó"	Office Supplies	Paper	Wrap Bag	0.39
30902	"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Ó x 11Ó"	Office Supplies	Paper	Wrap Bag	0.38
210183	"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages"	Office Supplies	Paper	Wrap Bag	0.40
400232	"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages"	Office Supplies	Paper	Wrap Bag	0.36
783568	"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"	Office Supplies	Paper	Wrap Bag	0.35
159149	"Adams Telephone Message Books, 5 1/4Ó x 11Ó"	Office Supplies	Paper	Wrap Bag	0.38
635598	"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"	Office Supplies	Paper	Wrap Bag	0.39
460438	"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"	Office Supplies	Storage & Organization	Small Box	0.57
213268	"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2"	Furniture	Office Furnishings	Small Pack	0.44
519606	Advantus Map Pennant Flags and Round Head Tacks	Office Supplies	Rubber Bands	Wrap Bag	0.53
840230	Advantus Panel Wall Acrylic Frame	Furniture	Office Furnishings	Small Pack	0.42
318979	Advantus Panel Wall Certificate Holder - 8.5x11	Furniture	Office Furnishings	Small Pack	0.43
352062	Advantus Plastic Paper Clips	Office Supplies	Rubber Bands	Wrap Bag	0.37
302517	Advantus Push Pins	Office Supplies	Rubber Bands	Wrap Bag	0.44
375694	"Advantus Push Pins, Aluminum Head"	Office Supplies	Rubber Bands	Wrap Bag	0.54
757487	Advantus Rolling Storage Box	Office Supplies	Storage & Organization	Small Box	0.58
75225	Advantus SlideClipª Paper Clips	Office Supplies	Rubber Bands	Wrap Bag	0.37
695818	Airmail Envelopes	Office Supplies	Envelopes	Small Box	0.38
494349	Alliance Rubber Bands	Office Supplies	Rubber Bands	Wrap Bag	0.81
680802	Aluminum Document Frame	Furniture	Office Furnishings	Small Pack	0.55
746721	Ames Color-File¨ Green Diamond Border X-ray Mailers	Office Supplies	Envelopes	Small Box	0.38
315990	Ampad #10 Peel & Seel¨ Holiday Envelopes	Office Supplies	Envelopes	Small Box	0.37
417731	"Ampad¨ Evidence¨ Wirebond Steno Books, 6"" x 9"""	Office Supplies	Paper	Wrap Bag	0.38
736726	Anderson Hickey Conga Table Tops & Accessories	Furniture	Tables	Jumbo Box	0.76
69354	"Angle-D Binders with Locking Rings, Label Holders"	Office Supplies	Binders and Binder Accessories	Small Box	0.38
346719	APC 7 Outlet Network SurgeArrest Surge Protector	Office Supplies	Appliances	Small Box	0.55
954944	Array¨ Memo Cubes	Office Supplies	Paper	Wrap Bag	0.36
494051	"Array¨ Parchment Paper, Assorted Colors"	Office Supplies	Paper	Small Box	0.37
640587	Artistic Insta-Plaque	Furniture	Office Furnishings	Small Pack	0.46
947521	Assorted Color Push Pins	Office Supplies	Rubber Bands	Wrap Bag	0.52
175848	Astroparche¨ Fine Business Paper	Office Supplies	Paper	Small Box	0.37
454732	AT&T 1430 2.4GHz Analog Phone w/Caller ID	Technology	Office Machines	Small Box	0.54
930660	AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting	Technology	Office Machines	Small Box	0.52
314991	"AT&T Black Trimline Phone, Model 210"	Technology	Office Machines	Small Box	0.49
861428	"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"	Furniture	Bookcases	Jumbo Box	0.56
329429	"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"	Furniture	Bookcases	Jumbo Box	0.59
355734	"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors"	Furniture	Bookcases	Jumbo Box	0.55
604082	Avanti 1.7 Cu. Ft. Refrigerator	Office Supplies	Appliances	Jumbo Drum	0.57
1021753	Avanti 4.4 Cu. Ft. Refrigerator	Office Supplies	Appliances	Jumbo Drum	0.57
599985	"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll"	Office Supplies	Labels	Small Box	0.39
961470	"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White"	Office Supplies	Labels	Small Box	0.39
147972	Avery 474	Office Supplies	Labels	Small Box	0.36
188015	Avery 478	Office Supplies	Labels	Small Box	0.36
605916	Avery 479	Office Supplies	Labels	Small Box	0.39
656848	Avery 48	Office Supplies	Labels	Small Box	0.39
358060	Avery 481	Office Supplies	Labels	Small Box	0.37
989878	Avery 482	Office Supplies	Labels	Small Box	0.38
622603	Avery 484	Office Supplies	Labels	Small Box	0.36
641495	Avery 485	Office Supplies	Labels	Small Box	0.38
399302	Avery 487	Office Supplies	Labels	Small Box	0.38
533786	Avery 49	Office Supplies	Labels	Small Box	0.36
871664	Avery 491	Office Supplies	Labels	Small Box	0.39
640880	Avery 492	Office Supplies	Labels	Small Box	0.39
175474	Avery 493	Office Supplies	Labels	Small Box	0.36
464128	Avery 494	Office Supplies	Labels	Small Box	0.39
232452	Avery 496	Office Supplies	Labels	Small Box	0.37
364652	Avery 497	Office Supplies	Labels	Small Box	0.37
155970	Avery 498	Office Supplies	Labels	Small Box	0.38
481924	Avery 501	Office Supplies	Labels	Small Box	0.38
652699	Avery 503	Office Supplies	Labels	Small Box	0.37
643923	Avery 504	Office Supplies	Labels	Small Box	0.36
480920	Avery 506	Office Supplies	Labels	Small Box	0.39
607679	Avery 507	Office Supplies	Labels	Small Box	0.39
659453	Avery 508	Office Supplies	Labels	Small Box	0.36
428893	Avery 51	Office Supplies	Labels	Small Box	0.39
816179	Avery 510	Office Supplies	Labels	Small Box	0.37
944147	Avery 511	Office Supplies	Labels	Small Box	0.37
774939	Avery 514	Office Supplies	Labels	Small Box	0.36
993113	Avery 516	Office Supplies	Labels	Small Box	0.38
1015676	Avery 52	Office Supplies	Labels	Small Box	0.38
189993	Avery 520	Office Supplies	Labels	Small Box	0.37
346151	Avery Arch Ring Binders	Office Supplies	Binders and Binder Accessories	Small Box	0.38
642251	Avery Binder Labels	Office Supplies	Binders and Binder Accessories	Small Box	0.37
963970	Avery Binding System Hidden Tabª Executive Style Index Sets	Office Supplies	Binders and Binder Accessories	Small Box	0.35
186776	Avery Durable Binders	Office Supplies	Binders and Binder Accessories	Small Box	0.36
504878	Avery Durable Poly Binders	Office Supplies	Binders and Binder Accessories	Small Box	0.39
287242	Avery File Folder Labels	Office Supplies	Labels	Small Box	0.36
877669	"Avery Flip-Chart Easel Binder, Black"	Office Supplies	Binders and Binder Accessories	Small Box	0.38
207983	Avery Hanging File Binders	Office Supplies	Binders and Binder Accessories	Small Box	0.39
731566	Avery Heavy-Duty EZD ª Binder With Locking Rings	Office Supplies	Binders and Binder Accessories	Small Box	0.37
819688	"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink"	Office Supplies	Pens & Art Supplies	Wrap Bag	0.46
302731	"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink"	Office Supplies	Pens & Art Supplies	Wrap Bag	0.41
436896	Avery Hi-Liter Pen Style Six-Color Fluorescent Set	Office Supplies	Pens & Art Supplies	Wrap Bag	0.44
707930	"Avery Hi-Liter¨ EverBoldª Pen Style Fluorescent Highlighters, 4/Pack"	Office Supplies	Pens & Art Supplies	Wrap Bag	0.45
318215	Avery Hi-Liter¨ Fluorescent Desk Style Markers	Office Supplies	Pens & Art Supplies	Wrap Bag	0.48
793081	Avery Hi-Liter¨ Smear-Safe Highlighters	Office Supplies	Pens & Art Supplies	Wrap Bag	0.49
364648	Avery Hole Reinforcements	Office Supplies	Binders and Binder Accessories	Small Box	0.36
178608	Avery Legal 4-Ring Binder	Office Supplies	Binders and Binder Accessories	Small Box	0.35
943159	Avery Non-Stick Binders	Office Supplies	Binders and Binder Accessories	Small Box	0.39
540260	Avery Poly Binder Pockets	Office Supplies	Binders and Binder Accessories	Small Box	0.37
835501	Avery Premier Heavy-Duty Binder with Round Locking Rings	Office Supplies	Binders and Binder Accessories	Small Box	0.39
182998	Avery Printable Repositionable Plastic Tabs	Office Supplies	Binders and Binder Accessories	Small Box	0.38
221283	Avery Reinforcements for Hole-Punch Pages	Office Supplies	Binders and Binder Accessories	Small Box	0.40
741640	Avery Round Ring Poly Binders	Office Supplies	Binders and Binder Accessories	Small Box	0.36
456509	Avery Self-Adhesive Photo Pockets for Polaroid Photos	Office Supplies	Binders and Binder Accessories	Small Box	0.37
686443	"Avery Trapezoid Extra Heavy Duty 4"" Binders"	Office Supplies	Binders and Binder Accessories	Small Box	0.35
639682	"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"	Office Supplies	Binders and Binder Accessories	Small Box	0.36
1000550	Avery White Multi-Purpose Labels	Office Supplies	Labels	Small Box	0.39
312562	"Avery¨ 3 1/2"" Diskette Storage Pages, 10/Pack"	Office Supplies	Binders and Binder Accessories	Small Box	0.39
640076	"Avery¨ Durable Plastic 1"" Binders"	Office Supplies	Binders and Binder Accessories	Small Box	0.36
846871	Avery¨ Durable Slant Ring Binders With Label Holder	Office Supplies	Binders and Binder Accessories	Small Box	0.37
357620	Avoid Verbal Orders Carbonless Minifold Book	Office Supplies	Paper	Wrap Bag	0.39
154089	Bagged Rubber Bands	Office Supplies	Rubber Bands	Wrap Bag	0.81
671340	Balt Solid Wood Rectangular Table	Furniture	Tables	Jumbo Box	0.75
736799	Balt Split Level Computer Training Table	Furniture	Tables	Jumbo Box	0.74
737723	Barrel Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.59
954252	"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf"	Furniture	Tables	Jumbo Drum	0.59
401585	"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops"	Furniture	Tables	Jumbo Drum	0.56
841964	BASF Silver 74 Minute CD-R	Technology	Computer Peripherals	Small Pack	0.51
284312	Belkin 105-Key Black Keyboard	Technology	Computer Peripherals	Small Box	0.68
841915	"Belkin 107-key enhanced keyboard, USB/PS/2 interface"	Technology	Computer Peripherals	Small Box	0.79
16735	"Belkin 325VA UPS Surge Protector, 6'"	Office Supplies	Appliances	Small Box	0.60
947046	Belkin 5 Outlet SurgeMasterª Power Centers	Office Supplies	Appliances	Small Box	0.57
681809	Belkin 6 Outlet Metallic Surge Strip	Office Supplies	Appliances	Small Box	0.59
924461	Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection	Office Supplies	Appliances	Small Box	0.56
37996	Belkin 8 Outlet Surge Protector	Office Supplies	Appliances	Small Box	0.57
299230	Belkin 8 Outlet SurgeMaster II Gold Surge Protector	Office Supplies	Appliances	Small Box	0.57
352439	Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection	Office Supplies	Appliances	Small Box	0.59
145931	Belkin ErgoBoardª Keyboard	Technology	Computer Peripherals	Small Box	0.64
58607	Belkin F5C206VTEL 6 Outlet Surge	Office Supplies	Appliances	Small Box	0.55
778385	Belkin F9M820V08 8 Outlet Surge	Office Supplies	Appliances	Small Box	0.56
428422	Belkin MediaBoard 104- Keyboard	Technology	Computer Peripherals	Small Box	0.75
767300	Belkin OmniView SE Rackmount Kit	Office Supplies	Storage & Organization	Large Box	0.85
196600	Belkin Premiere Surge Master II 8-outlet surge protector	Office Supplies	Appliances	Small Box	0.56
560855	Bell Sonecor JB700 Caller ID	Technology	Telephones and Communication	Medium Box	0.60
400178	Berol Giant Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.56
491105	Bevis 36 x 72 Conference Tables	Furniture	Tables	Jumbo Box	0.63
593570	Bevis Boat-Shaped Conference Table	Furniture	Tables	Jumbo Box	0.75
95746	Bevis Rectangular Conference Tables	Furniture	Tables	Jumbo Box	0.69
171527	Bevis Round Conference Room Tables and Bases	Furniture	Tables	Jumbo Box	0.71
682640	Bevis Steel Folding Chairs	Furniture	Chairs & Chairmats	Jumbo Drum	0.57
746518	Binder Clips by OIC	Office Supplies	Rubber Bands	Wrap Bag	0.37
730110	Binder Posts	Office Supplies	Binders and Binder Accessories	Small Box	0.39
612766	Binding Machine Supplies	Office Supplies	Binders and Binder Accessories	Small Box	0.37
878329	"Binney & Smith Crayola¨ Metallic Colored Pencils, 8-Color Set"	Office Supplies	Pens & Art Supplies	Wrap Bag	0.52
421568	"Binney & Smith inkTankª Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"	Office Supplies	Pens & Art Supplies	Wrap Bag	0.44
570526	"Binney & Smith inkTankª Erasable Pocket Highlighter, Chisel Tip, Yellow"	Office Supplies	Pens & Art Supplies	Wrap Bag	0.41
899702	Bionaire 99.97% HEPA Air Cleaner	Office Supplies	Appliances	Medium Box	0.50
91978	Bionaire Personal Warm Mist Humidifier/Vaporizer	Office Supplies	Appliances	Medium Box	0.46
466225	"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book"	Office Supplies	Paper	Wrap Bag	0.39
704553	"Black Print Carbonless Snap-Off¨ Rapid Letter, 8 1/2"" x 7"""	Office Supplies	Paper	Wrap Bag	0.40
756158	Blackstonian Pencils	Office Supplies	Pens & Art Supplies	Wrap Bag	0.57
459677	"Blue String-Tie & Button Interoffice Envelopes, 10 x 13"	Office Supplies	Envelopes	Small Box	0.40
667910	Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.58
751450	Boston 16701 Slimline Battery Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.55
152427	Boston 16765 Mini Stand Up Battery Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.59
614969	Boston 16801 Nautilusª Battery Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.59
361951	Boston 1730 StandUp Electric Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.59
481924	Boston 1799 Powerhouseª Electric Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.57
981209	Boston 19500 Mighty Mite Electric Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.58
524772	"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black"	Office Supplies	Pens & Art Supplies	Small Pack	0.57
479067	Boston KS Multi-Size Manual Pencil Sharpener	Office Supplies	Pens & Art Supplies	Small Pack	0.57
736479	"Boston Model 1800 Electric Pencil Sharpener, Gray"	Office Supplies	Pens & Art Supplies	Small Pack	0.55
403494	"Boston School Pro Electric Pencil Sharpener, 1670"	Office Supplies	Pens & Art Supplies	Small Pack	0.58
934530	"BOSTON¨ Ranger¨ #55 Pencil Sharpener, Black"	Office Supplies	Pens & Art Supplies	Small Box	0.56
779048	BPI Conference Tables	Furniture	Tables	Jumbo Box	0.71
50693	"Bravo IIª Megaboss¨ 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"	Office Supplies	Appliances	Large Box	0.56
301122	Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables	Furniture	Tables	Jumbo Box	0.79
136430	Bretford Rectangular Conference Table Tops	Furniture	Tables	Jumbo Box	0.74
649343	"Brites Rubber Bands, 1 1/2 oz. Box"	Office Supplies	Rubber Bands	Wrap Bag	0.83
743841	Brother DCP1000 Digital 3 in 1 Multifunction Machine	Technology	Copiers and Fax	Large Box	0.50
134974	Brown Kraft Recycled Envelopes	Office Supplies	Envelopes	Small Box	0.35
594189	Bush Advantage Collection¨ Racetrack Conference Table	Furniture	Tables	Jumbo Box	0.67
921326	"Bush Cubix Collection Bookcases, Fully Assembled"	Furniture	Bookcases	Jumbo Box	0.62
893965	"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"	Furniture	Bookcases	Jumbo Box	0.65
331372	Bush Mission Pointe Library	Furniture	Bookcases	Jumbo Box	0.65
762722	"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled"	Furniture	Bookcases	Jumbo Box	0.78
160678	"Bush Westfield Collection Bookcases, Fully Assembled"	Furniture	Bookcases	Jumbo Box	0.62
490695	"Bush¨ Cubix Conference Tables, Fully Assembled"	Furniture	Tables	Jumbo Box	0.60
507264	"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro¨ Back, 8-1/2x11, 25/Bx"	Furniture	Office Furnishings	Small Box	0.54
