TRANS_ID,PROD_KEY,STORE_KEY,TRANS_DT,TRANS_TIME,PRIORITY,SALES_QTY,SALES_PRICE,SALES_AMT,DISCOUNT,SALES_COST,SALES_MGRN,SHIPMODE,SHIP_COST
247260,1022569,8106,5/9/2009,20,"""High""",44,6.68,201.05,0.06,366.79,-72.93,"""Regular Air""",5.41
247262,781408,8106,5/16/2009,11,"""High""",14.4,5.98,88.92,0.07,157.61,-62,"""Regular Air""",7.15
247264,90051,8106,2/21/2009,10,"""Critical""",14.4,49.99,901.81,0.02,976.69,-76.89,"""Regular Air""",19.99
247266,995207,8106,8/5/2012,20,"""Medium""",13.3,6.48,128.21,0.05,178.2,-55.13,"""Regular Air""",6.57
247268,563334,8106,3/23/2010,11,"""High""",27,6.48,131.65,0,276.81,-101.85,"""Regular Air""",7.86
247270,156272,8106,11/19/2011,11,"""Low""",11.9,6.48,91.42,0.08,148.8,-38.72,"""Regular Air""",5.84
247272,982190,8106,9/21/2010,12,"""Critical""",14,39.24,759.84,0.06,621.91,162.83,"""Regular Air""",1.99
247274,721136,8106,12/12/2009,8,"""Critical""",16,4.28,64.87,0.04,123.19,-54.75,"""Regular Air""",5.68
247276,940550,8106,11/28/2009,15,"""Not Specified""",21.6,35.44,753.12,0.05,587.35,369.48,"""Regular Air""",5.09
247278,371815,8106,8/27/2009,13,"""Medium""",12,4.98,73.49,0.05,106.64,-31.99,"""Regular Air""",5.02
247280,852845,8106,10/1/2010,20,"""Not Specified""",19.8,11.29,196.77,0.03,282.17,-33.82,"""Regular Air""",5.03
247282,675603,8106,3/17/2012,12,"""Medium""",25.9,5.43,154.34,0.09,126.24,74.58,"""Regular Air""",0.95
247284,940550,8106,4/8/2009,20,"""Critical""",39,35.44,1221.78,0.05,819.19,562.92,"""Regular Air""",5.09
247286,905789,8106,9/20/2009,10,"""Medium""",3.5,48.91,176.86,0.02,211.67,32.86,"""Regular Air""",5.81
247288,523991,8106,7/24/2010,18,"""Medium""",21,7.1,151.86,0.1,203.67,-54.67,"""Express Air""",6.05
247290,584472,8106,10/15/2009,13,"""Low""",28,4.98,128.42,0.01,323.95,-149.66,"""Regular Air""",7.44
247292,653263,8106,1/31/2012,15,"""Medium""",44,6.48,269.87,0.03,545.89,-260.8,"""Express Air""",10.05
247294,1021964,8106,11/11/2012,15,"""Critical""",8.4,30.98,366.48,0.01,380.17,-8.42,"""Regular Air""",17.08
247296,904715,8106,1/10/2010,10,"""Medium""",12,6.68,63.25,0.1,127.06,-47,"""Regular Air""",6.92
247298,247078,8106,10/18/2011,12,"""High""",44.1,29.89,1435.32,0.02,978.64,485.95,"""Regular Air""",1.99
247300,655557,8106,12/28/2010,9,"""Critical""",29.7,6.54,216.77,0.02,270.91,-55.11,"""Regular Air""",5.27
247302,433913,8106,7/13/2012,8,"""Not Specified""",41.4,48.04,1865.78,0.02,1123.89,1085.93,"""Express Air""",7.23
247304,394308,8106,9/3/2011,19,"""High""",1.8,5.78,18.9,0.02,16.44,-4.9,"""Express Air""",8.09
247306,712459,8106,10/22/2009,15,"""High""",31.5,47.9,1887.03,0.03,1215.8,939.67,"""Regular Air""",5.86
247308,102789,8106,5/11/2009,19,"""Low""",28.8,6.48,182.3,0.02,337.95,-130.61,"""Regular Air""",8.4
247310,1010521,8106,12/4/2010,13,"""Critical""",37.8,4.76,196.1,0.07,128.2,71.65,"""Regular Air""",0.88
247312,1022569,8106,3/7/2012,11,"""Low""",17.5,6.68,150.51,0.05,210.12,-43.17,"""Regular Air""",5.41
247314,236787,8106,6/29/2009,11,"""Medium""",23.8,8.37,228.05,0.08,496.04,-211.54,"""Regular Air""",10.16
247316,50374,8106,8/31/2011,17,"""High""",2.7,12.28,44.63,0.07,45.15,-8.38,"""Express Air""",6.47
247318,153113,8106,10/7/2009,12,"""Not Specified""",37.6,19.98,832.77,0.04,681.71,257.31,"""Regular Air""",5.77
247320,414906,8106,2/2/2010,18,"""Not Specified""",17.1,5.98,88.57,0.03,186.97,-73.38,"""Regular Air""",7.5
247322,352478,8106,1/28/2009,8,"""Low""",30.6,5.18,179.99,0.03,278.36,-102.27,"""Regular Air""",5.74
247324,1010521,8106,5/17/2012,17,"""Not Specified""",5,4.76,22.75,0.09,24.16,-0.45,"""Regular Air""",0.88
247326,345717,8106,9/15/2011,11,"""High""",30.4,6.48,209.1,0.05,418.54,-172.35,"""Regular Air""",8.74
247328,414906,8106,6/25/2010,9,"""Low""",26,5.98,175.42,0,249.21,-93.73,"""Regular Air""",7.5
247330,570116,8106,5/20/2011,17,"""Not Specified""",33.3,6.68,206.83,0.05,363.48,-116.37,"""Regular Air""",7.3
247332,985033,8106,7/4/2009,16,"""Low""",9.8,55.98,748.84,0.09,496.93,286.7,"""Regular Air""",4.86
247334,827242,8106,9/7/2009,11,"""Not Specified""",14.4,6.08,95.9,0.07,77.64,19.57,"""Regular Air""",0.91
247336,958232,8106,7/17/2009,15,"""Medium""",9,115.79,1059.3,0.05,974.46,67.6,"""Regular Air""",1.99
247338,905789,8106,7/31/2012,9,"""Critical""",13.6,48.91,739.06,0.04,522.8,308.63,"""Express Air""",5.81
247340,655557,8106,5/20/2010,19,"""Low""",7,6.54,64.13,0.1,94.27,-28.97,"""Regular Air""",5.27
247342,994750,8106,2/22/2010,12,"""Critical""",0.8,4.98,19.96,0.05,1.68,3.25,"""Express Air""",4.86
247344,500519,8106,8/3/2010,19,"""High""",15.4,5.34,99.16,0.01,115.05,2.42,"""Regular Air""",2.99
247346,552704,8106,4/30/2011,17,"""Critical""",17.6,5.78,136.24,0.03,223.35,-96.22,"""Regular Air""",7.96
247348,723460,8106,11/18/2011,17,"""Medium""",28,6.48,175.6,0.04,310.82,-129.42,"""Regular Air""",8.73
247350,196575,8106,3/10/2011,14,"""Medium""",21.7,55.98,1474.38,0.1,1264.06,471.22,"""Regular Air""",13.88
247352,641174,8106,6/5/2011,10,"""Not Specified""",30.8,179.99,4803.57,0.05,6080.31,1839.2,"""Express Air""",13.99
247354,352478,8106,4/13/2011,13,"""Critical""",34.4,5.18,147.46,0.08,368.38,-145.72,"""Regular Air""",5.74
247356,852845,8106,10/4/2012,8,"""Critical""",31,11.29,371.68,0.03,363.28,-13.32,"""Regular Air""",5.03
247358,177660,8106,8/20/2011,9,"""Medium""",21,9.99,245.54,0.05,286.19,13.46,"""Regular Air""",5.12
247360,500519,8106,9/8/2009,20,"""Low""",26.6,5.34,148.8,0.09,193.34,9.49,"""Express Air""",2.99
247362,363937,8106,4/25/2010,13,"""High""",27.3,8.17,222.8,0.08,203.6,114.95,"""Regular Air""",1.69
247364,690859,8106,4/8/2012,9,"""Not Specified""",44.1,99.99,3974.8,0,3858.23,1041.28,"""Regular Air""",19.99
247366,598592,8106,8/15/2011,15,"""High""",26.6,6.68,236.61,0.06,295.76,-41.98,"""Regular Air""",5.2
247368,620362,8106,3/13/2009,17,"""Medium""",13.3,6.48,123.1,0.06,198.5,-75.44,"""Regular Air""",7.37
247370,165314,8106,8/27/2009,14,"""High""",45,6.68,240.1,0,410.94,-76.94,"""Regular Air""",5.66
247372,59843,8106,2/19/2009,13,"""High""",37,4.28,111.03,0.05,262.88,-104.57,"""Regular Air""",5.17
247374,50374,8106,12/11/2009,7,"""High""",22.5,12.28,267.77,0.01,275.25,31.74,"""Regular Air""",6.47
247376,632804,8106,11/19/2011,16,"""Low""",45,49.99,2103.33,0.1,2536.59,-37.19,"""Regular Air""",19.99
247378,253064,8106,3/1/2010,15,"""Medium""",8,22.84,180.79,0.05,162.58,20.09,"""Regular Air""",5.47
247380,484348,8106,2/6/2011,11,"""Critical""",31,5.98,190.06,0.06,247.22,-61.9,"""Regular Air""",5.35
247382,47324,8106,6/25/2010,17,"""Medium""",8,4.28,34.4,0.05,56.75,-22.56,"""Express Air""",6.18
247384,1031199,8106,11/7/2012,9,"""Not Specified""",34.2,5.28,169.7,0.02,294.4,-93.78,"""Regular Air""",5.66
247386,317100,8106,5/7/2010,10,"""Medium""",3,4.28,13.34,0.04,27.61,-14.81,"""Regular Air""",6.72
247388,675603,8106,6/5/2011,15,"""Low""",38.4,5.43,188.95,0.05,140.95,119.64,"""Express Air""",0.95
247390,79826,8106,3/5/2011,10,"""High""",30.6,9.27,214.41,0.07,296.38,18.73,"""Regular Air""",4.39
247392,191428,8106,12/15/2011,13,"""High""",31.2,5.28,208.09,0,385.88,-179.96,"""Express Air""",8.16
247394,265285,8106,8/24/2010,7,"""Critical""",24.5,6.48,163.37,0.06,424.13,-197.39,"""Regular Air""",9.54
247396,99546,8106,1/9/2011,16,"""Medium""",36,5.28,177.39,0.09,223.99,-12.88,"""Regular Air""",2.99
247398,690859,8106,2/24/2011,13,"""High""",22.5,99.99,1941.8,0.1,2271.98,227.67,"""Regular Air""",19.99
247400,632804,8106,1/31/2009,19,"""Low""",41.4,49.99,2188.06,0.1,2265.67,33.77,"""Express Air""",19.99
247402,854031,8106,7/17/2010,16,"""High""",39.2,125.99,3927.43,0.01,4132.63,2040.87,"""Regular Air""",2.5
247404,165314,8106,2/7/2009,14,"""Medium""",46,6.68,288.84,0.05,373.71,-66.48,"""Regular Air""",5.66
247406,653263,8106,3/18/2012,10,"""Critical""",36.8,6.48,196.7,0.1,589.57,-291.59,"""Regular Air""",10.05
247408,781122,8106,3/30/2012,10,"""Critical""",7.7,65.99,629.59,0.04,845.94,-120.09,"""Regular Air""",8.99
247410,317100,8106,3/8/2011,14,"""Critical""",3.6,4.28,18.58,0.09,36.09,-19.06,"""Regular Air""",6.72
247412,937092,8106,6/5/2011,8,"""High""",15,22.24,299.97,0.03,262.53,71.04,"""Regular Air""",1.99
247414,87058,8106,2/23/2010,10,"""Low""",32.8,9.99,350.93,0.01,350.72,58.86,"""Regular Air""",4.78
247416,50374,8106,9/15/2012,11,"""High""",10.8,12.28,113.48,0.04,143.41,3.91,"""Express Air""",6.47
247418,317100,8106,3/7/2010,9,"""Not Specified""",12.8,4.28,66.72,0.08,137.74,-69.34,"""Regular Air""",6.72
247420,762620,8106,3/7/2010,9,"""Not Specified""",40.5,4.28,136.52,0.09,341.38,-148.87,"""Regular Air""",5.74
247422,239066,8106,3/19/2011,13,"""Critical""",24.8,4.98,157.79,0.09,250.21,-95.92,"""Regular Air""",6.07
245384,1064589,8106,8/24/2011,15,"""Low""",23.1,95.99,3093.76,0.07,4018.31,-850.71,"""Express Air""",35
245386,105743,8106,2/22/2009,19,"""Not Specified""",36,442.14,15280.36,0,10845.65,6839.95,"""Delivery Truck""",14.7
245388,465557,8106,8/25/2011,16,"""High""",1.6,11.48,29.31,0,35.74,-12.78,"""Regular Air""",5.43
245390,484548,8106,2/3/2011,16,"""Not Specified""",24.5,37.74,1327.59,0.05,949.57,371.28,"""Express Air""",2.9
245392,255922,8106,5/25/2009,19,"""Low""",48,30.56,1299.6,0.08,849.74,617.06,"""Regular Air""",2.99
245394,1029916,8106,7/31/2009,17,"""Low""",8,2.16,17.54,0.09,54.98,-37.79,"""Regular Air""",6.05
245396,688400,8106,12/10/2012,9,"""Not Specified""",11.2,1.14,18.86,0,13.15,2.81,"""Express Air""",0.7
245398,967595,8106,4/11/2011,20,"""Medium""",35.2,65.99,2443.34,0.01,2313.23,590.32,"""Regular Air""",3.99
245400,331004,8106,7/26/2009,14,"""Low""",14.4,16.74,261.06,0.07,415.45,-114.2,"""Regular Air""",7.04
245402,991431,8106,11/17/2010,11,"""Not Specified""",20.7,9.49,152.8,0.09,250.61,-32.43,"""Regular Air""",5.76
245404,639545,8106,3/24/2009,8,"""Critical""",15,90.48,1386.69,0.05,994.15,363,"""Regular Air""",19.99
245406,468265,8106,7/3/2009,19,"""Low""",39.6,10.06,311.16,0.02,281.49,161.13,"""Regular Air""",2.06
245408,853927,8106,12/2/2010,12,"""Low""",16.8,2.84,55.58,0,55.3,4.34,"""Regular Air""",0.93
245410,967595,8106,8/4/2010,14,"""Medium""",14,65.99,625.96,0.06,935.2,-11.4,"""Regular Air""",3.99
245412,452225,8106,9/5/2010,18,"""Not Specified""",6,12.99,72.6,0.02,104.31,-26.39,"""Regular Air""",14.37
245414,698263,8106,12/12/2009,19,"""Medium""",32.8,140.98,3901.04,0.07,6419.58,-639.47,"""Delivery Truck""",36.09
245416,161867,8106,9/24/2012,19,"""Low""",33,125.99,2569.8,0.02,3162.56,995.09,"""Regular Air""",8.99
245418,639545,8106,6/20/2011,15,"""Not Specified""",12,90.48,1112.39,0.01,990.39,366.8,"""Regular Air""",19.99
245420,991431,8106,5/22/2011,11,"""High""",32.2,9.49,287.3,0.1,491.02,-54.58,"""Regular Air""",5.76
245422,797793,8106,11/5/2011,9,"""High""",38.4,12.28,493.81,0.04,626.92,-37.52,"""Regular Air""",6.13
245424,37176,8106,11/5/2011,14,"""High""",36,349.45,10483.99,0.03,10098.8,5626.42,"""Delivery Truck""",60
245426,459865,8106,9/9/2010,12,"""Not Specified""",1.8,7.31,12.03,0.02,20.72,-6.12,"""Regular Air""",0.49
245428,272408,8106,11/26/2011,15,"""Low""",11.2,4.24,68.94,0.01,116.34,-48.51,"""Regular Air""",5.41
245430,717095,8106,5/19/2011,11,"""Medium""",2.8,9.93,40.02,0.02,40.98,-1.28,"""Regular Air""",1.09
245432,523179,8106,4/15/2010,13,"""Critical""",14,6.7,101.73,0.09,121.03,12.88,"""Regular Air""",1.56
245434,285357,8106,9/13/2011,17,"""Not Specified""",14.4,110.98,1618.12,0.05,2155.22,-157.63,"""Delivery Truck""",30
245436,453581,8106,10/2/2009,7,"""Not Specified""",21.6,19.99,452.9,0.03,559.03,-19.33,"""Regular Air""",11.17
245438,1057069,8106,11/27/2011,20,"""Not Specified""",0.9,7.96,12.74,0.05,19.3,-11.39,"""Regular Air""",4.95
245440,845743,8106,3/16/2009,14,"""Medium""",12.6,15.57,169.5,0.1,139.43,78.45,"""Regular Air""",1.39
245442,751161,8106,12/12/2012,9,"""Not Specified""",25.2,880.98,21952.04,0.04,34279.31,-9611.91,"""Delivery Truck""",44.55
245444,37176,8106,12/13/2010,9,"""Critical""",18.2,349.45,9225.65,0.03,7429.21,1656.46,"""Delivery Truck""",60
245446,738097,8106,3/27/2009,9,"""Medium""",36.8,213.45,8373.78,0.08,7837.45,1981.17,"""Delivery Truck""",14.7
245448,668688,8106,9/18/2009,8,"""High""",22.4,26.17,517.96,0.01,362.52,370.23,"""Regular Air""",1.39
245450,538394,8106,12/24/2010,12,"""Not Specified""",16,195.99,2744.36,0.01,2934.8,201.03,"""Regular Air""",8.99
245452,37176,8106,4/9/2009,13,"""High""",29,349.45,9558.65,0.09,7979.89,2154.07,"""Delivery Truck""",60
245454,200147,8106,1/1/2010,16,"""Medium""",6,204.1,1193.1,0.09,1364.01,-139.5,"""Express Air""",13.99
245456,760927,8106,4/9/2009,14,"""High""",20.8,40.98,695.99,0.09,1192.5,-127.11,"""Express Air""",6.5
245458,612619,8106,12/14/2009,16,"""Low""",3,107.53,272.12,0.09,32.19,290.31,"""Regular Air""",5.81
245460,287133,8106,3/24/2010,19,"""Low""",26.6,99.99,3530.66,0.04,2936.01,863.57,"""Regular Air""",19.99
245462,797793,8106,1/24/2012,11,"""Low""",21.6,12.28,272.62,0.05,331.43,-36.76,"""Regular Air""",6.13
245464,845612,8106,3/27/2010,9,"""High""",37.8,48.91,1632.76,0.07,3286.02,-1231.87,"""Regular Air""",35
245466,465557,8106,1/20/2012,16,"""High""",15.2,11.48,208.28,0.07,214.42,3.63,"""Regular Air""",5.43
245468,444836,8106,1/15/2009,9,"""Low""",47,6.35,207.29,0.04,179.32,119.09,"""Regular Air""",1.02
245470,219708,8106,8/27/2012,7,"""Medium""",24.8,10.01,263.86,0.08,246.01,64.22,"""Regular Air""",1.99
245472,572974,8106,1/6/2009,11,"""Low""",4.2,20.34,159.05,0.05,275.45,-153.46,"""Regular Air""",35
245474,409791,8106,6/2/2012,19,"""Low""",47,279.81,10055.45,0.1,9990.34,3160.63,"""Delivery Truck""",23.19
245476,200147,8106,6/2/2012,9,"""Low""",31.2,204.1,5871.03,0.03,3928.25,4031.62,"""Regular Air""",13.99
245478,864079,8106,4/7/2010,19,"""Medium""",23.2,10.98,267.25,0.08,343.75,-25.41,"""Regular Air""",3.99
245480,992059,8106,4/9/2009,16,"""Medium""",21,125.99,2237.9,0.07,3176.17,603.46,"""Regular Air""",7.69
245482,399912,8106,1/19/2012,7,"""Critical""",45,145.45,6628.55,0.1,6190.75,1081.65,"""Delivery Truck""",17.85
245484,272408,8106,10/9/2010,8,"""High""",15.4,4.24,77.4,0.04,166.15,-72.91,"""Regular Air""",5.41
245486,910598,8106,4/11/2011,12,"""Critical""",22.5,42.76,1015.23,0.01,812.69,256.3,"""Regular Air""",6.22
245488,255922,8106,4/11/2009,11,"""Medium""",35.2,30.56,1053.87,0.03,788.68,555.93,"""Regular Air""",2.99
245490,805551,8106,4/10/2010,10,"""Not Specified""",6.4,22.98,147.26,0.04,108.17,75.63,"""Regular Air""",7.58
245492,688400,8106,2/2/2009,16,"""Low""",26.6,1.14,40.37,0.02,43.79,-0.49,"""Regular Air""",0.7
245494,805551,8106,11/1/2012,17,"""Critical""",45,22.98,1103.73,0,844.82,189.28,"""Regular Air""",7.58
245496,802024,8106,7/28/2012,11,"""Low""",35.1,70.71,1855.54,0.08,3582.04,-824.43,"""Regular Air""",37.58
245498,452225,8106,1/11/2009,17,"""Not Specified""",39.6,12.99,574.5,0.02,1020.58,-449.04,"""Regular Air""",14.37
245500,492902,8106,11/17/2012,20,"""Not Specified""",33.6,14.03,565.5,0.09,899.97,-226.62,"""Regular Air""",9.37
245502,945963,8106,3/26/2012,12,"""Medium""",11.7,20.98,227.38,0.05,699.23,-426.54,"""Delivery Truck""",45
245504,573539,8106,9/10/2011,11,"""High""",29.6,34.58,1096.27,0.1,1179.57,99.79,"""Regular Air""",8.99
245506,485887,8106,9/10/2011,14,"""High""",4.5,105.98,469.85,0.06,210.2,319.64,"""Regular Air""",13.99
245508,389962,8106,1/15/2012,20,"""Medium""",48,35.44,1585.6,0.08,1068.91,632.13,"""Regular Air""",4.92
245510,123797,8106,8/10/2010,8,"""High""",43.2,125.99,4577.32,0.03,4680.8,1366.69,"""Regular Air""",8.08
245512,250373,8106,7/23/2010,13,"""Critical""",26.4,13.99,396.21,0.09,499.52,-37.94,"""Regular Air""",7.51
245514,587889,8106,9/23/2009,10,"""Critical""",12,279.48,4012.58,0.05,4617.29,-425.14,"""Express Air""",35
245516,967842,8106,1/17/2009,14,"""Medium""",19.2,328.14,5510.34,0.05,7333.84,541.47,"""Delivery Truck""",91.05
245518,575546,8106,12/1/2010,13,"""High""",29.4,5.84,242.8,0.07,149.3,95.91,"""Regular Air""",1
245520,410393,8106,8/20/2011,17,"""Medium""",4.8,19.98,102.85,0,127.72,-7.84,"""Regular Air""",8.68
245522,945371,8106,8/7/2011,14,"""High""",43.2,8.67,347.39,0.09,456.79,-40.72,"""Regular Air""",3.5
245524,607882,8106,11/18/2012,19,"""High""",32,11.97,327.25,0.08,512.06,-33.34,"""Regular Air""",4.98
245526,272408,8106,10/19/2009,15,"""Low""",14.4,4.24,76.85,0.1,140.3,-64.08,"""Regular Air""",5.41
245528,612619,8106,2/21/2011,8,"""Critical""",19,107.53,1317.53,0.09,1706.72,336.26,"""Express Air""",5.81
245530,953470,8106,7/10/2011,18,"""Low""",23.1,160.98,5661.08,0,4256.87,1055.47,"""Delivery Truck""",30
245532,538394,8106,4/16/2011,12,"""Medium""",28.8,195.99,3953.42,0.1,5566.69,704.89,"""Regular Air""",8.99
245534,154899,8106,5/12/2009,10,"""Medium""",7,3.58,32.08,0.05,36.46,-0.71,"""Regular Air""",1.63
245536,625704,8106,12/12/2010,11,"""High""",33,21.98,499.59,0.02,549.23,176.09,"""Regular Air""",2.87
245538,608341,8106,9/30/2010,9,"""Critical""",30.4,180.98,6210.12,0.01,6324.26,552.97,"""Delivery Truck""",23.58
