OrderID	ProductID	CustomerID	OrderDate	OrderPriority	OrderQuantity	Sales	Discount	ShipMode	Profit	UnitPrice	ShippingCost
209	10036	16	2011-06-10	Medium	19	1899.89547	0.2	Regular Air	673.15	105.87	10.81
210	10047	84	2010-10-14	Critical	15	433.50182	0.19	Express Air	-130.9	31.73	25.12
211	10026	31	2012-01-03	High	29	3361.62901	0.03	Regular Air	1005.28	124.71	3.21
212	10043	78	2012-12-14	Not Specified	14	4443.72266	0.02	Regular Air	2795.07	334.7	4.48
213	10022	102	2011-11-18	Low	20	2421.7455	0.01	Delivery Truck	1010.47	105.55	6.66
214	10028	143	2012-02-01	Medium	30	1389.34088	0.03	Regular Air	484.41	42.56	1.86
215	10049	57	2009-09-25	Medium	24	7470.19937	0.02	Express Air	3699.4	275.14	35.7
216	10004	6	2009-05-13	Medium	29	8248.41441	0.21	Delivery Truck	1059.97	324.1	12.32
217	10007	11	2011-08-03	Low	37	6887.26221	0.12	Regular Air	2473.05	174.4	6.36
218	10027	45	2010-12-26	Medium	18	2275.59199	0.01	Regular Air	1014.35	113.38	9.67
219	10015	166	2010-08-28	Critical	36	6077.60521	0.1	Express Air	2285.69	192.65	23.8
220	10015	162	2012-01-19	Low	46	6755.81713	0.12	Express Air	2387.26	144.93	44.83
221	10024	70	2010-01-04	Low	39	3890.52704	0.19	Express Air	1082.09	89.17	7.26
222	10033	92	2012-04-11	Medium	7	649.83876	0.13	Regular Air	228.36	100.65	12.08
223	10047	15	2010-03-26	Not Specified	23	9876.01533	0.04	Express Air	4431.38	374.21	12.83
224	10047	179	2011-01-05	Not Specified	46	14652.15153	0.14	Regular Air	5119.37	280.82	8.88
225	10012	215	2011-10-06	Not Specified	12	2075.41027	0.06	Express Air	1190.38	197.19	13.36
226	10000	85	2012-06-11	Medium	22	7115.67431	0.21	Regular Air	848.35	287.34	5.53
227	10001	38	2012-04-16	Medium	34	13333.29228	0.09	Regular Air	5852.46	344.55	14.19
228	10025	151	2009-07-26	High	21	1061.00848	0.24	Express Air	185.77	56.31	47.65
229	10041	82	2009-12-23	Not Specified	40	11561.90602	0.15	Delivery Truck	5430.65	315.22	3.45
230	10019	188	2012-11-11	High	12	3976.71915	0.24	Regular Air	550.26	292.07	6.48
231	10049	248	2012-03-08	Low	39	5482.16773	0.15	Regular Air	2018.44	128.65	9.96
232	10006	240	2011-10-14	Medium	48	1509.83035	0.08	Express Air	534.65	32.97	39.09
233	10052	182	2012-10-04	High	1	99.46894	0.02	Express Air	45.47	107.55	12.22
234	10000	13	2011-03-02	Critical	27	11675.53556	0.12	Delivery Truck	2445.56	387.7	6.3
235	10034	97	2009-07-27	Critical	42	11708.39276	0.11	Delivery Truck	5256.59	303.78	12.19
236	10002	76	2009-02-11	High	7	198.86668	0.09	Express Air	40.2	31.53	37.36
237	10057	24	2010-11-24	Not Specified	31	8573.72949	0.16	Delivery Truck	4020.15	282.39	9.5
238	10027	41	2009-04-20	Low	14	5308.81281	0.14	Express Air	1652.61	389.81	46.21
239	10042	73	2010-09-02	Medium	4	642.95868	0.12	Regular Air	261.85	158.38	1.76
240	10000	110	2009-06-29	High	41	8986.64235	0.01	Delivery Truck	2872.34	240.89	3.39
241	10018	21	2011-08-28	Low	26	5508.92361	0.07	Express Air	3054.22	189.44	30.78
242	10023	227	2011-02-21	High	29	562.68066	0.07	Regular Air	150.46	19.76	12.72
243	10036	16	2009-11-06	Low	43	6043.92131	0.24	Regular Air	1924.79	138.83	9.26
244	10035	16	2011-03-04	Not Specified	35	10902.80545	0.14	Express Air	3803.3	275.45	12.68
245	10025	232	2009-03-13	Not Specified	34	11480.24416	0.16	Delivery Truck	3441.39	320.58	2.68
246	10048	115	2009-12-21	Medium	13	663.25469	0.25	Regular Air	72.49	52.22	7.1
247	10052	161	2009-10-30	Not Specified	21	8605.58832	0.02	Express Air	4971.33	364.5	19.91
248	10020	220	2010-07-20	Not Specified	1	326.68082	0.13	Express Air	145.16	315.05	21.45
249	10009	146	2012-04-19	Not Specified	7	1392.32196	0.07	Regular Air	729.43	225.95	8.5
250	10022	225	2011-04-22	High	42	8468.99697	0.01	Express Air	3543.78	195.26	13.2
251	10038	175	2012-11-21	Critical	26	8789.32703	0.06	Regular Air	4559.01	356.05	11.44
252	10058	69	2011-02-02	Low	20	2773.89831	0.21	Express Air	1178.6	125.76	41.92
253	10014	35	2010-09-08	Critical	18	5422.64511	0.02	Express Air	-3361.05	292.06	27.79
254	10033	223	2011-02-05	Low	11	328.7672	0.1	Delivery Truck	119.58	28.12	11.93
255	10033	226	2012-03-10	Low	13	4145.27856	0.01	Regular Air	2029.73	350.32	1.46
256	10003	236	2011-01-09	Medium	24	7926.41141	0.16	Express Air	1657.6	329.76	6.95
257	10023	126	2012-05-01	Critical	31	6973.81987	0.04	Regular Air	2218.1	235.58	13.52
258	10047	213	2012-11-11	Low	2	280.17847	0.14	Express Air	43.13	155.85	54.93
259	10041	58	2012-10-19	Medium	42	5931.4698	0.2	Express Air	2461.69	164.98	29.53
260	10058	34	2012-08-18	Medium	1	94.01974	0.24	Delivery Truck	27.57	91.06	10.98
261	10045	165	2010-07-18	Critical	23	3888.55605	0.08	Express Air	-1726.7	184.68	28.48
262	10042	248	2011-02-06	Not Specified	39	8955.34594	0.03	Delivery Truck	4475.78	244.4	1.89
263	10017	164	2010-10-28	High	42	13379.95319	0.07	Express Air	6009.67	285.02	11.31
264	10057	15	2012-05-13	Critical	21	6112.24133	0.16	Delivery Truck	2857.79	272.94	14.96
265	10016	233	2011-05-08	Critical	48	818.99886	0.14	Express Air	-392.66	16.06	13.14
266	10050	122	2012-10-07	High	20	7461.39631	0.22	Delivery Truck	3204.86	338.48	3.54
267	10006	121	2009-09-20	High	36	9956.87654	0.17	Delivery Truck	2881.79	305.64	5.7
268	10005	57	2010-12-29	Medium	20	3780.07173	0.09	Delivery Truck	1502.83	169.35	9.2
269	10029	218	2009-08-30	Critical	41	10884.86797	0.02	Regular Air	3143.16	234.26	13.45
270	10032	31	2012-10-26	Critical	20	3698.70029	0.04	Delivery Truck	2130.36	166.42	14.89
271	10021	105	2012-03-12	Critical	21	6554.62227	0.02	Regular Air	3927.11	345.23	5.66
272	10011	81	2012-07-23	Low	29	3466.85622	0.04	Regular Air	1305.71	110.86	11.7
273	10031	202	2009-06-30	Medium	28	6909.41484	0.24	Delivery Truck	960.95	254.13	6.37
274	10002	137	2010-02-13	High	21	6427.11536	0.0	Regular Air	3083.96	303.23	1.06
275	10046	64	2010-04-09	High	9	386.30628	0.08	Express Air	110.98	42.88	4.91
276	10018	117	2011-12-02	Not Specified	22	4056.43798	0.03	Delivery Truck	2418.91	174.6	14.95
277	10031	92	2010-01-21	Medium	2	198.48375	0.03	Express Air	31.29	92.91	38.18
278	10010	32	2011-01-21	Low	41	4300.14556	0.01	Express Air	1624.91	103.8	52.15
279	10041	215	2009-02-10	Low	8	1294.7928	0.14	Delivery Truck	613.86	167.88	7.64
280	10009	53	2012-11-24	Low	27	7513.39716	0.07	Express Air	3956.45	265.34	25.65
281	10053	231	2009-08-03	Not Specified	40	1728.08784	0.03	Delivery Truck	531.93	48.86	3.78
282	10012	200	2010-06-23	Not Specified	23	6087.14673	0.01	Regular Air	3826.95	281.97	7.95
283	10013	177	2011-09-12	High	1	6.19828	0.03	Regular Air	-6.68	7.07	9.04
284	10031	39	2009-07-04	Not Specified	47	15284.08875	0.16	Regular Air	3355.11	289.98	7.39
285	10018	68	2011-08-09	Low	12	4642.63922	0.09	Regular Air	2496.56	349.91	10.47
